0.	0.	0.	0.	0.
1.	117.73845539128263*(1.414320037212742*^-9 + (3.973275772972737*^-6*(-0.00027311985522089806*GeV^4 - 5.856767147576708*^-9*GeV^2*mTv + 1.680569257311665*^-8*mTv^2))/GeV^4)	0.11773845539128264*(7.1199471776903*^-7 + (0.0000669700328434176*(-0.0003607117077772249*GeV^4 - 5.856767147576707*^-7*GeV^2*mTv + 1.7562383536612473*^-8*mTv^2))/GeV^4)	0.00011773845539128262*(0.0000712687344547513 + (0.00006942082107214719*(0.0075848633648913305*GeV^4 - 0.000058567671475767076*GeV^2*mTv + 9.323147988619484*^-8*mTv^2))/GeV^4)	1.1773845539128264*^-7*(0.007126938702649633 + (0.00006954041076556901*(0.969189973914759*GeV^4 - 0.005856767147576707*GeV^2*mTv + 7.66014111484443*^-6*mTv^2))/GeV^4)
2.	231.60427103603854*(7.620674243868566*^-11 + (2.5253814874496306*^-7*(-0.0002641211175758169*GeV^4 - 5.618697655942228*^-9*GeV^2*mTv + 1.625308255000269*^-8*mTv^2))/GeV^4)	0.2316042710360385*(6.865859770970376*^-7 + (0.00012843837678380845*(-0.0003469690075801406*GeV^4 - 5.618697655942227*^-7*GeV^2*mTv + 1.6979392408207874*^-8*mTv^2))/GeV^4)	0.00023160427103603853*(0.000068922007137138 + (0.00013810411014454163*(0.007523766423285699*GeV^4 - 0.000056186976559422283*GeV^2*mTv + 8.96103782287264*^-8*mTv^2))/GeV^4)	2.3160427103603852*^-7*(0.006892452503271104 + (0.00013858123983226893*(0.9561525538228517*GeV^4 - 0.0056186976559422265*GeV^2*mTv + 7.352708960280578*^-6*mTv^2))/GeV^4)
3.	341.6929807504487*(2.595151594229028*^-12 + (9.300080878486758*^-9*(-0.00025535715054444865*GeV^4 - 5.3887901711526126*^-9*GeV^2*mTv + 1.5714892301867316*^-8*mTv^2))/GeV^4)	0.3416929807504487*(6.607145139364576*^-7 + (0.00018462228371205795*(-0.0003336008474544057*GeV^4 - 5.388790171152611*^-7*GeV^2*mTv + 1.6412856110791787*^-8*mTv^2))/GeV^4)	0.00034169298075044873*(0.00006663437399385777 + (0.0002060532816270953*(0.0074626372478386336*GeV^4 - 0.00005388790171152612*GeV^2*mTv + 8.620923700323874*^-8*mTv^2))/GeV^4)	3.4169298075044874*^-7*(0.006663983731068593 + (0.0002071240425637897*(0.9432925246400298*GeV^4 - 0.005388790171152611*GeV^2*mTv + 7.0658473262479334*^-6*mTv^2))/GeV^4)
4.	448.0980234924908*(6.874507395699687*^-14 + (2.605268178075487*^-10*(-0.0002468232266440058*GeV^4 - 5.166816885095676*^-9*GeV^2*mTv + 1.519083101564594*^-8*mTv^2))/GeV^4)	0.4480980234924907*(6.345522441455625*^-7 + (0.00023574698694269093*(-0.00032059958132921277*GeV^4 - 5.166816885095675*^-7*GeV^2*mTv + 1.5862392099015094*^-8*mTv^2))/GeV^4)	0.0004480980234924908*(0.00006440483245632764 + (0.0002732717790799439*(0.007401487066847781*GeV^4 - 0.00005166816885095677*GeV^2*mTv + 8.301850043593053*^-8*mTv^2))/GeV^4)	4.4809802349249076*^-7*(0.006441419631599664 + (0.00027517038354031944*(0.9306073730515237*GeV^4 - 0.005166816885095675*GeV^2*mTv + 6.7986293341274746*^-6*mTv^2))/GeV^4)
5.	550.9107864268364*(1.5467645730631243*^-15 + (6.14496289871776*^-12*(-0.00023851469045098263*GeV^4 - 4.952555255671089*^-9*GeV^2*mTv + 1.4680612329600852*^-8*mTv^2))/GeV^4)	0.5509107864268363*(6.082573955404955*^-7 + (0.00028204308915243635*(-0.00030795767712460116*GeV^4 - 4.952555255671089*^-7*GeV^2*mTv + 1.532762535787535*^-8*mTv^2))/GeV^4)	0.0005509107864268364*(0.00006223238549087793 + (0.000339763074239861*(0.007340327197141117*GeV^4 - 0.000049525552556710894*GeV^2*mTv + 8.002892818532533*^-8*mTv^2))/GeV^4)	5.509107864268363*^-7*(0.006224648743431472 + (0.00034272183635217094*(0.9180946500399882*GeV^4 - 0.0049525552556710884*GeV^2*mTv + 6.550159210930321*^-6*mTv^2))/GeV^4)
6.	650.2206471398562*(3.096990618309323*^-17 + (1.2843811206483689*^-13*(-0.00023042695779287408*GeV^4 - 4.745787911710753*^-9*GeV^2*mTv + 1.4183954282930521*^-8*mTv^2))/GeV^4)	0.6502206471398562*(5.819743046346011*^-7 + (0.00032374427684813084*(-0.00029566771558328024*GeV^4 - 4.745787911710752*^-7*GeV^2*mTv + 1.4808188279000447*^-8*mTv^2))/GeV^4)	0.0006502206471398562*(0.00006011604187849277 + (0.0004055306660620526*(0.007279169031860392*GeV^4 - 0.00004745787911710754*GeV^2*mTv + 7.723158788599281*^-8*mTv^2))/GeV^4)	6.502206471398562*^-7*(0.00601356089838297 + (0.0004097799833956105*(0.9057519690410704*GeV^4 - 0.004745787911710752*GeV^2*mTv + 6.319571548585228*^-6*mTv^2))/GeV^4)
7.	746.115015021042*(5.675201339677244*^-19 + (2.4513995338906683*^-15*(-0.00022255551494627327*GeV^4 - 4.546302559139805*^-9*GeV^2*mTv + 1.3700579265783943*^-8*mTv^2))/GeV^4)	0.7461150150210419*(5.558334597135901*^-7 + (0.00036108533078410944*(-0.00028372238910937095*GeV^4 - 4.546302559139804*^-7*GeV^2*mTv + 1.4303720538500968*^-8*mTv^2))/GeV^4)	0.000746115015021042*(0.000058054816484696466 + (0.0004705780797771463*(0.007218024028574868*GeV^4 - 0.000045463025591398055*GeV^2*mTv + 7.461784781020324*^-8*mTv^2))/GeV^4)	7.461150150210419*^-7*(0.005808047221411262 + (0.00047634641567087093*(0.8935770041369386*GeV^4 - 0.004546302559139804*GeV^2*mTv + 6.1060305749804294*^-6*mTv^2))/GeV^4)
8.	838.6793718268425*(9.695233430796442*^-21 + (4.357772624915377*^-17*(-0.00021489591784131851*GeV^4 - 4.353891888367772*^-9*GeV^2*mTv + 1.3230213969678001*^-8*mTv^2))/GeV^4)	0.8386793718268425*(5.299517419332854*^-7 + (0.0003943004040959337*(-0.00027211450061405786*GeV^4 - 4.353891888367771*^-7*GeV^2*mTv + 1.38138689763782*^-8*mTv^2))/GeV^4)	0.0008386793718268425*(0.000056047730519680576 + (0.0005349088659631939*(0.007156903697721033*GeV^4 - 0.00004353891888367772*GeV^2*mTv + 7.217936964639807*^-8*mTv^2))/GeV^4)	8.386793718268425*^-7*(0.005608000130148805 + (0.0005424227325823331*(0.8815674882873201*GeV^4 - 0.00435389188836777*GeV^2*mTv + 5.9087294366483846*^-6*mTv^2))/GeV^4)
9.	927.9973114426164*(1.567760911423769*^-22 + (7.262954374858962*^-19*(-0.00020744379127245332*GeV^4 - 4.168353482899454*^-9*GeV^2*mTv + 1.2772589338315594*^-8*mTv^2))/GeV^4)	0.9279973114426163*(5.044328228983188*^-7 + (0.0004236215421205201*(-0.00026083696236814174*GeV^4 - 4.168353482899453*^-7*GeV^2*mTv + 1.3338287477474504*^-8*mTv^2))/GeV^4)	0.0009279973114426163*(0.000054093811788770556 + (0.000598526599632506*(0.007095819591364005*GeV^4 - 0.00004168353482899454*GeV^2*mTv + 6.990810139336542*^-8*mTv^2))/GeV^4)	9.279973114426164*^-7*(0.005413313334098495 + (0.0006080105417408544*(0.8697212115975884*GeV^4 - 0.004168353482899453*GeV^2*mTv + 5.726889492982456*^-6*mTv^2))/GeV^4)
