0.	0.	0.	0.	0.
1.	117.73845539128263*(7.28145383408769*^-15 + (3.973275772972737*^-6*(0.0010116097103363016*GeV^4 + 0.000043932324732337875*GeV^2*mTv + 4.773021892830273*^-7*mTv^2))/GeV^4)	0.11773845539128264*(3.665617774719866*^-12 + (0.0000669700328434176*(0.10116096640573695*GeV^4 + 0.004393234808336901*GeV^2*mTv + 0.00004773019229750258*mTv^2))/GeV^4)	0.00011773845539128262*(3.669183679026583*^-10 + (0.00006942082107214719*(10.11609672194822*GeV^4 + 0.43932348316879327*GeV^2*mTv + 0.004773019203119457*mTv^2))/GeV^4)	1.1773845539128264*^-7*(3.669217275885214*^-8 + (0.00006954041076556901*(1011.6096731362211*GeV^4 + 43.93234831921442*GeV^2*mTv + 0.47730192028531476*mTv^2))/GeV^4)
2.	231.60427103603854*(3.7453766047471903*^-16 + (2.5253814874496306*^-7*(0.0009879135528209609*GeV^4 + 0.000042694714183093986*GeV^2*mTv + 4.6160896629792565*^-7*mTv^2))/GeV^4)	0.2316042710360385*(3.3744035940595777*^-12 + (0.00012843837678380845*(0.09879133630387404*GeV^4 + 0.00426947381365099*GeV^2*mTv + 0.00004616087106821774*mTv^2))/GeV^4)	0.00023160427103603853*(3.387349528702772*^-10 + (0.00013810411014454163*(9.879133690809669*GeV^4 + 0.42694738376044056*GeV^2*mTv + 0.004616087081260198*mTv^2))/GeV^4)	2.3160427103603852*^-7*(3.387473277164795*^-8 + (0.00013858123983226893*(987.9133699353941*GeV^4 + 42.6947383784394*GeV^2*mTv + 0.4616087081004582*mTv^2))/GeV^4)
3.	341.6929807504487*(1.2157403955085737*^-17 + (9.300080878486758*^-9*(0.0009646513725671079*GeV^4 + 0.000041484389515128097*GeV^2*mTv + 4.4632488528339216*^-7*mTv^2))/GeV^4)	0.3416929807504487*(3.0952231317723745*^-12 + (0.00018462228371205795*(0.0964651045961101*GeV^4 + 0.004148441406164962*GeV^2*mTv + 0.00004463246396436844*mTv^2))/GeV^4)	0.00034169298075044873*(3.1215941440147544*^-10 + (0.0002060532816270953*(9.646510500127652*GeV^4 + 0.4148441430711484*GeV^2*mTv + 0.0044632463718728725*mTv^2))/GeV^4)	3.4169298075044874*^-7*(3.1218500818557754*^-8 + (0.0002071240425637897*(964.6510507850546*GeV^4 + 41.4844143095695*GeV^2*mTv + 0.4463246371627232*mTv^2))/GeV^4)
4.	448.0980234924908*(3.064771214078767*^-19 + (2.605268178075487*^-10*(0.0009418171655198594*GeV^4 + 0.00004030089141642926*GeV^2*mTv + 4.314417093353979*^-7*mTv^2))/GeV^4)	0.4480980234924907*(2.8289408094941253*^-12 + (0.00023574698694269093*(0.09418167085370212*GeV^4 + 0.004030091654646947*GeV^2*mTv + 0.000043144147298780214*mTv^2))/GeV^4)	0.0004480980234924908*(2.871275935832038*^-10 + (0.0002732717790799439*(9.418167106989035*GeV^4 + 0.4030091679776987*GeV^2*mTv + 0.00431441470624326*mTv^2))/GeV^4)	4.4809802349249076*^-7*(2.8716933924716854*^-8 + (0.00027517038354031944*(941.8167113936936*GeV^4 + 40.30091680028287*GeV^2*mTv + 0.4314414706006912*mTv^2))/GeV^4)
5.	550.9107864268364*(6.551117562723996*^-21 + (6.14496289871776*^-12*(0.0009194049884762234*GeV^4 + 0.000039143766339223465*GeV^2*mTv + 4.169513271478669*^-7*mTv^2))/GeV^4)	0.5509107864268363*(2.576194060800665*^-12 + (0.00028204308915243635*(0.09194044073367165*GeV^4 + 0.003914379204291962*GeV^2*mTv + 0.00004169510994396547*mTv^2))/GeV^4)	0.0005509107864268364*(2.635770696196714*^-10 + (0.000339763074239861*(9.19404407705818*GeV^4 + 0.39143792299956576*GeV^2*mTv + 0.004169510971625725*mTv^2))/GeV^4)	5.509107864268363*^-7*(2.6363679654316465*^-8 + (0.00034272183635217094*(919.404408327559*GeV^4 + 39.14379230252694*GeV^2*mTv + 0.4169510971398015*mTv^2))/GeV^4)
6.	650.2206471398562*(1.2438602044996916*^-22 + (1.2843811206483689*^-13*(0.0008974089586536718*GeV^4 + 0.0000380125664479066*GeV^2*mTv + 4.028457516018862*^-7*mTv^2))/GeV^4)	0.6502206471398562*(2.33741320783058*^-12 + (0.00032374427684813084*(0.08974082593565226*GeV^4 + 0.0038012592715151107*GeV^2*mTv + 0.00004028455319104718*mTv^2))/GeV^4)	0.0006502206471398562*(2.4144713807856134*^-10 + (0.0004055306660620526*(8.974082580261696*GeV^4 + 0.38012592977823556*GeV^2*mTv + 0.004028455297135575*mTv^2))/GeV^4)	6.502206471398562*^-7*(2.415257264459332*^-8 + (0.0004097799833956105*(897.4082585791282*GeV^4 + 38.01259298045027*GeV^2*mTv + 0.4028455296915884*mTv^2))/GeV^4)
7.	746.115015021042*(2.1572655512208313*^-24 + (2.4513995338906683*^-15*(0.0008758232532606993*GeV^4 + 0.00003690684956729758*GeV^2*mTv + 3.8911711836609384*^-7*mTv^2))/GeV^4)	0.7461150150210419*(2.112841999935482*^-12 + (0.00036108533078410944*(0.08758224415893588*GeV^4 + 0.00369068763877677*GeV^2*mTv + 0.0000389116906098002*mTv^2))/GeV^4)	0.000746115015021042*(2.2067878862603568*^-10 + (0.0004705780797771463*(8.758224386493039*GeV^4 + 0.3690687665597239*GeV^2*mTv + 0.0038911690397532097*mTv^2))/GeV^4)	7.461150150210419*^-7*(2.207763115471592*^-8 + (0.00047634641567087093*(875.8224391375694*GeV^4 + 36.90687665865444*GeV^2*mTv + 0.38911690395409415*mTv^2))/GeV^4)
8.	838.6793718268425*(3.480646399685012*^-26 + (4.357772624915377*^-17*(0.0008546421090693658*GeV^4 + 0.000035826179131209986*GeV^2*mTv + 3.757576845081866*^-7*mTv^2))/GeV^4)	0.8386793718268425*(1.902558237234071*^-12 + (0.0003943004040959337*(0.08546411905971768*GeV^4 + 0.0035826206494396387*GeV^2*mTv + 0.00003757574790980443*mTv^2))/GeV^4)	0.0008386793718268425*(2.0121468228312309*^-10 + (0.0005349088659631939*(8.546411861336981*GeV^4 + 0.3582620676802824*GeV^2*mTv + 0.003757574770439429*mTv^2))/GeV^4)	8.386793718268425*^-7*(2.013305363069742*^-8 + (0.0005424227325823331*(854.6411865611876*GeV^4 + 35.826206770764564*GeV^2*mTv + 0.3757574770234018*mTv^2))/GeV^4)
9.	927.9973114426164*(5.303728293220745*^-28 + (7.262954374858962*^-19*(0.0008338598219898169*GeV^4 + 0.000034770124131341295*GeV^2*mTv + 3.6275982711748766*^-7*mTv^2))/GeV^4)	0.9279973114426163*(1.7064940293768194*^-12 + (0.0004236215421205201*(0.08338588020853867*GeV^4 + 0.0034770152026575496*GeV^2*mTv + 0.00003627596280270422*mTv^2))/GeV^4)	0.0009279973114426163*(1.8299912823551122*^-10 + (0.000598526599632506*(8.338587961813849*GeV^4 + 0.34770152305527835*GeV^2*mTv + 0.003627596260361377*mTv^2))/GeV^4)	9.279973114426164*^-7*(1.8313215287434062*^-8 + (0.0006080105417408544*(833.8587965518493*GeV^4 + 34.77015230831736*GeV^2*mTv + 0.36275962601622863*mTv^2))/GeV^4)
