0.	0.	0.	0.	0.
1.	(0.00011773845539128264*(6.855932707723386*^-6*(4.303558895846189*^-12*GeV^4 - 7.008667358455102*^-14*GeV^2*mTv + 6.022171557631126*^-16*mTv^2) + 0.0000635724123675638*(2.561937801344848*^-7*GeV^4 - 4.172307217639997*^-9*GeV^2*mTv + 1.7004296571583527*^-11*mTv^2)))/GeV^4	(1.1773845539128264*^-7*(0.000034514026138659*(4.303558895846189*^-10*GeV^4 - 7.008667358455102*^-12*GeV^2*mTv + 6.022171557631127*^-14*mTv^2) + 0.0010715205254946817*(0.000025619413153785035*GeV^4 - 4.1723129405064804*^-7*GeV^2*mTv + 1.7004321667680635*^-9*mTv^2)))/GeV^4	(1.1773845539128263*^-10*(0.00003454760130170486*(4.303558895846188*^-8*GeV^4 - 7.008667358455101*^-10*GeV^2*mTv + 6.022171557631125*^-12*mTv^2) + 0.001110733137154355*(0.0025619413722992902*GeV^4 - 0.00004172313033206239*GeV^2*mTv + 1.700432222342566*^-7*mTv^2)))/GeV^4	(1.1773845539128263*^-13*(0.00003454791763661162*(4.303558895846188*^-6*GeV^4 - 7.0086673584551*^-8*GeV^2*mTv + 6.022171557631128*^-10*mTv^2) + 0.0011126465722491041*(0.2561941375046544*GeV^4 - 0.004172313037680345*GeV^2*mTv + 0.00001700432225946152*mTv^2)))/GeV^4
2.	(0.0004632085420720771*(3.8197192037386415*^-7*(3.97319840082415*^-12*GeV^4 - 6.470650597439271*^-14*GeV^2*mTv + 5.88486251332917*^-16*mTv^2) + 4.040610379919409*^-6*(2.5019262537095664*^-7*GeV^4 - 4.07457392637547*^-9*GeV^2*mTv + 1.6605947015051583*^-11*mTv^2)))/GeV^4	(4.6320854207207703*^-7*(0.000034413826884744145*(3.9731984008241484*^-10*GeV^4 - 6.470650597439269*^-12*GeV^2*mTv + 5.88486251332917*^-14*mTv^2) + 0.002055014028540935*(0.000025019294979902265*GeV^4 - 4.074579209929039*^-7*GeV^2*mTv + 1.6605970368840194*^-9*mTv^2)))/GeV^4	(4.6320854207207705*^-10*(0.00003454585589113106*(3.9731984008241494*^-8*GeV^4 - 6.470650597439268*^-10*GeV^2*mTv + 5.884862513329169*^-12*mTv^2) + 0.002209665762312666*(0.0025019295505415186*GeV^4 - 0.00004074579295512748*GeV^2*mTv + 1.660597090021288*^-7*mTv^2)))/GeV^4	(4.63208542072077*^-13*(0.00003454711793878796*(3.973198400824149*^-6*GeV^4 - 6.470650597439268*^-8*GeV^2*mTv + 5.884862513329171*^-10*mTv^2) + 0.002217299837316303*(0.2501929553077881*GeV^4 - 0.004074579299643402*GeV^2*mTv + 0.000016605970935310092*mTv^2)))/GeV^4
3.	(0.0010250789422513462*(1.3453147537498662*^-8*(3.6617875098691586*^-12*GeV^4 - 5.963494683153933*^-14*GeV^2*mTv + 5.758859127350553*^-16*mTv^2) + 1.4880129405578812*^-7*(2.4430137720540046*^-7*GeV^4 - 3.9786305462155165*^-9*GeV^2*mTv + 1.6214893511165202*^-11*mTv^2)))/GeV^4	(1.0250789422513462*^-6*(0.000034251139147015986*(3.661787509869157*^-10*GeV^4 - 5.963494683153931*^-12*GeV^2*mTv + 5.758859127350554*^-14*mTv^2) + 0.0029539565393929272*(0.00002443016762054805*GeV^4 - 3.9786354156553274*^-7*GeV^2*mTv + 1.6214915224528485*^-9*mTv^2)))/GeV^4	(1.0250789422513463*^-9*(0.00003454295565629757*(3.6617875098691575*^-8*GeV^4 - 5.963494683153932*^-10*GeV^2*mTv + 5.7588591273505535*^-12*mTv^2) + 0.003296852506033525*(0.002443016810487238*GeV^4 - 0.00003978635494531166*GeV^2*mTv + 1.6214915733119845*^-7*mTv^2)))/GeV^4	(1.0250789422513463*^-12*(0.00003454578781483108*(3.661787509869157*^-6*GeV^4 - 5.963494683153929*^-8*GeV^2*mTv + 5.758859127350555*^-10*mTv^2) + 0.003313984681020635*(0.24430168128248061*GeV^4 - 0.003978635498338068*GeV^2*mTv + 0.000016214915767351535*mTv^2)))/GeV^4
4.	(0.0017923920939699634*(3.6866484777196875*^-10*(3.368546346802291*^-12*GeV^4 - 5.485929528944965*^-14*GeV^2*mTv + 5.643602521556731*^-16*mTv^2) + 4.1684290849207795*^-9*(2.3851851509208424*^-7*GeV^4 - 3.884452313936262*^-9*GeV^2*mTv + 1.58310351127887*^-11*mTv^2)))/GeV^4	(1.792392093969963*^-6*(0.00003402965376655542*(3.3685463468022903*^-10*GeV^4 - 5.485929528944965*^-12*GeV^2*mTv + 5.643602521556731*^-14*mTv^2) + 0.003771951791083055*(0.000023851879014781172*GeV^4 - 3.8844567934243897*^-7*GeV^2*mTv + 1.583105528336374*^-9*mTv^2)))/GeV^4	(1.792392093969963*^-9*(0.00003453890786144763*(3.3685463468022906*^-8*GeV^4 - 5.485929528944965*^-10*GeV^2*mTv + 5.64360252155673*^-12*mTv^2) + 0.004372348465279102*(0.0023851879460320114*GeV^4 - 0.000038844568659837395*GeV^2*mTv + 1.5831055770694045*^-7*mTv^2)))/GeV^4	(1.7923920939699632*^-12*(0.000034543929495290955*(3.3685463468022908*^-6*GeV^4 - 5.485929528944964*^-8*GeV^2*mTv + 5.643602521556731*^-10*mTv^2) + 0.004402726136645111*(0.2385187948182384*GeV^4 - 0.00388445686948578*GeV^2*mTv + 0.00001583105580412981*mTv^2)))/GeV^4
5.	(0.002754553932134181*(8.583237489406074*^-12*(3.092718987546089*^-12*GeV^4 - 5.036724055945925*^-14*GeV^2*mTv + 5.538554051802333*^-16*mTv^2) + 9.831940637948416*^-11*(2.3284253389575356*^-7*GeV^4 - 3.792014717284974*^-9*GeV^2*mTv + 1.5454271895947054*^-11*mTv^2)))/GeV^4	(2.7545539321341815*^-6*(0.00003375315010139308*(3.0927189875460875*^-10*GeV^4 - 5.036724055945923*^-12*GeV^2*mTv + 5.5385540518023335*^-14*mTv^2) + 0.004512689426438982*(0.000023284278642903743*GeV^4 - 3.7920188299782753*^-7*GeV^2*mTv + 1.545429061725702*^-9*mTv^2)))/GeV^4	(2.754553932134181*^-9*(0.00003453371983705725*(3.0927189875460875*^-8*GeV^4 - 5.036724055945924*^-10*GeV^2*mTv + 5.538554051802333*^-12*mTv^2) + 0.005436209187837776*(0.0023284279051960536*GeV^4 - 0.00003792018896596233*GeV^2*mTv + 1.5454291084778135*^-7*mTv^2)))/GeV^4	(2.754553932134181*^-12*(0.00003454154522507609*(3.092718987546088*^-6*GeV^4 - 5.036724055945922*^-8*GeV^2*mTv + 5.538554051802333*^-10*mTv^2) + 0.005483549381634735*(0.23284279071703462*GeV^4 - 0.0037920188998115155*GeV^2*mTv + 0.000015454291117484155*mTv^2)))/GeV^4
6.	(0.0039013238828391377*(1.7787436991249025*^-13*(2.8335729336476047*^-12*GeV^4 - 4.614685335670987*^-14*GeV^2*mTv + 5.443194796940504*^-16*mTv^2) + 2.05500979303739*^-12*(2.2727194378238933*^-7*GeV^4 - 3.7012934932009923*^-9*GeV^2*mTv + 1.5084504952572424*^-11*mTv^2)))/GeV^4	(3.901323882839138*^-6*(0.0000334254524796239*(2.833572933647604*^-10*GeV^4 - 4.614685335670986*^-12*GeV^2*mTv + 5.443194796940504*^-14*mTv^2) + 0.0051799084295700935*(0.00002272721751553272*GeV^4 - 3.701297261282239*^-7*GeV^2*mTv + 1.508452231415577*^-9*mTv^2)))/GeV^4	(3.901323882839138*^-9*(0.00003452739897742165*(2.8335729336476046*^-8*GeV^4 - 4.614685335670987*^-10*GeV^2*mTv + 5.443194796940503*^-12*mTv^2) + 0.006488490656992842*(0.0022727217890313703*GeV^4 - 0.000037012973223181254*GeV^2*mTv + 1.508452276325346*^-7*mTv^2)))/GeV^4	(3.901323882839138*^-12*(0.000034538637263105316*(2.833572933647604*^-6*GeV^4 - 4.614685335670985*^-8*GeV^2*mTv + 5.443194796940504*^-10*mTv^2) + 0.006556479734329768*(0.2272721790840232*GeV^4 - 0.003701297325263991*GeV^2*mTv + 0.000015084522795292625*mTv^2)))/GeV^4
7.	(0.005222805105147295*(3.3745293480952237*^-15*(2.5903985935537822*^-12*GeV^4 - 4.218657745233116*^-14*GeV^2*mTv + 5.357025056337036*^-16*mTv^2) + 3.9222392542250693*^-14*(2.218052701104691*^-7*GeV^4 - 3.6122646260448022*^-9*GeV^2*mTv + 1.4721636383284085*^-11*mTv^2)))/GeV^4	(5.2228051051472935*^-6*(0.00003305039257978969*(2.590398593553782*^-10*GeV^4 - 4.218657745233115*^-12*GeV^2*mTv + 5.3570250563370365*^-14*mTv^2) + 0.005777365292545751*(0.00002218054816272173*GeV^4 - 3.612268070753158*^-7*GeV^2*mTv + 1.4721652470820846*^-9*mTv^2)))/GeV^4	(5.222805105147294*^-9*(0.00003451995273828154*(2.5903985935537822*^-8*GeV^4 - 4.218657745233115*^-10*GeV^2*mTv + 5.357025056337035*^-12*mTv^2) + 0.007529249276434341*(0.0022180548505339394*GeV^4 - 0.00003612268126551007*GeV^2*mTv + 1.472165290281699*^-7*mTv^2)))/GeV^4	(5.222805105147293*^-12*(0.00003453520788196364*(2.5903985935537818*^-6*GeV^4 - 4.218657745233114*^-8*GeV^2*mTv + 5.357025056337037*^-10*mTv^2) + 0.007621542650733935*(0.22180548521875668*GeV^4 - 0.003612268129244061*GeV^2*mTv + 0.000014721652934249032*mTv^2)))/GeV^4
8.	(0.006709434974614741*(5.969839737129328*^-17*(2.362508771570992*^-12*GeV^4 - 3.847522135076472*^-14*GeV^2*mTv + 5.279563855809093*^-16*mTv^2) + 6.972436199864603*^-16*(2.1644105332272911*^-7*GeV^4 - 3.5249043458353274*^-9*GeV^2*mTv + 1.4365569290201625*^-11*mTv^2)))/GeV^4	(6.70943497461474*^-6*(0.000032631777154584115*(2.362508771570992*^-10*GeV^4 - 3.847522135076472*^-12*GeV^2*mTv + 5.2795638558090946*^-14*mTv^2) + 0.006308806465534939*(0.00002164412462313318*GeV^4 - 3.5249074874961226*^-7*GeV^2*mTv + 1.4365584185636884*^-9*mTv^2)))/GeV^4	(6.70943497461474*^-9*(0.000034511388634488905*(2.3625087715709918*^-8*GeV^4 - 3.8475221350764715*^-10*GeV^2*mTv + 5.279563855809095*^-12*mTv^2) + 0.008558541855411102*(0.0021644124935609114*GeV^4 - 0.00003524907538385166*GeV^2*mTv + 1.4365584601791676*^-7*mTv^2)))/GeV^4	(6.70943497461474*^-12*(0.000034531259367561796*(2.3625087715709917*^-6*GeV^4 - 3.847522135076471*^-8*GeV^2*mTv + 5.279563855809095*^-10*mTv^2) + 0.00867876372131733*(0.21644124950690616*GeV^4 - 0.0035249075408413*GeV^2*mTv + 0.000014365584632673272*mTv^2)))/GeV^4
9.	(0.008351975802983549*(9.999376485098431*^-19*(2.1492381644408973*^-12*GeV^4 - 3.500195009112581*^-14*GeV^2*mTv + 5.210348461904626*^-16*mTv^2) + 1.1620726999774339*^-17*(2.111778488384278*^-7*GeV^4 - 3.439189126495349*^-9*GeV^2*mTv + 1.4016207769791426*^-11*mTv^2)))/GeV^4	(8.351975802983547*^-6*(0.00003217336056057506*(2.1492381644408975*^-10*GeV^4 - 3.50019500911258*^-12*GeV^2*mTv + 5.210348461904627*^-14*mTv^2) + 0.006777944673928321*(0.000021117802433260424*GeV^4 - 3.4391919845491945*^-7*GeV^2*mTv + 1.401622155145595*^-9*mTv^2)))/GeV^4	(8.351975802983546*^-9*(0.00003450171423771165*(2.1492381644408972*^-8*GeV^4 - 3.500195009112581*^-10*GeV^2*mTv + 5.210348461904626*^-12*mTv^2) + 0.009576425594120096*(0.0021117802717528235*GeV^4 - 0.000034391920308443355*GeV^2*mTv + 1.4016221952970016*^-7*mTv^2)))/GeV^4	(8.351975802983547*^-12*(0.00003452679401879978*(2.1492381644408972*^-6*GeV^4 - 3.5001950091125785*^-8*GeV^2*mTv + 5.210348461904628*^-10*mTv^2) + 0.00972816866785367*(0.2111780273124829*GeV^4 - 0.0034391920330787465*GeV^2*mTv + 0.000014016221983354908*mTv^2)))/GeV^4
