0.	0.	0.	0.	0.
1.	0.00011773845539128264*(2.9504910193645824*^-17 + (0.0000635724123675638*(2.561937801344848*^-7*GeV^4 + 1.1126040393943284*^-8*GeV^2*mTv + 1.2087859284482302*^-10*mTv^2))/GeV^4)	1.1773845539128264*^-7*(1.4853314422049382*^-14 + (0.0010715205254946817*(0.000025619413153785028*GeV^4 + 1.1126040393943284*^-6*GeV^2*mTv + 1.2087859284482304*^-8*mTv^2))/GeV^4)	1.1773845539128263*^-10*(1.4867763691209931*^-12 + (0.001110733137154355*(0.0025619413722992907*GeV^4 + 0.00011126040393943286*GeV^2*mTv + 1.20878592844823*^-6*mTv^2))/GeV^4)	1.1773845539128263*^-13*(1.4867899827800134*^-10 + (0.0011126465722491041*(0.2561941375046544*GeV^4 + 0.011126040393943284*GeV^2*mTv + 0.00012087859284482304*mTv^2))/GeV^4)
2.	0.0004632085420720771*(1.5176502231891663*^-18 + (4.040610379919409*^-6*(2.5019262537095664*^-7*GeV^4 + 1.0812610797761825*^-8*GeV^2*mTv + 1.1690422499609005*^-10*mTv^2))/GeV^4)	4.6320854207207703*^-7*(1.3673296194470454*^-14 + (0.002055014028540935*(0.00002501929497990226*GeV^4 + 1.0812610797761825*^-6*GeV^2*mTv + 1.1690422499609006*^-8*mTv^2))/GeV^4)	4.6320854207207705*^-10*(1.3725753938174344*^-12 + (0.002209665762312666*(0.002501929550541519*GeV^4 + 0.00010812610797761826*GeV^2*mTv + 1.1690422499609002*^-6*mTv^2))/GeV^4)	4.63208542072077*^-13*(1.372625537474756*^-10 + (0.002217299837316303*(0.2501929553077881*GeV^4 + 0.010812610797761824*GeV^2*mTv + 0.00011690422499609005*mTv^2))/GeV^4)
3.	0.0010250789422513462*(4.926256762123962*^-20 + (1.4880129405578812*^-7*(2.4430137720540046*^-7*GeV^4 + 1.0506091456201729*^-8*GeV^2*mTv + 1.1303347378103251*^-10*mTv^2))/GeV^4)	1.0250789422513462*^-6*(1.2542039352733368*^-14 + (0.0029539565393929272*(0.000024430167620548045*GeV^4 + 1.0506091456201725*^-6*GeV^2*mTv + 1.1303347378103252*^-8*mTv^2))/GeV^4)	1.0250789422513463*^-9*(1.264889635761946*^-12 + (0.003296852506033525*(0.0024430168104872386*GeV^4 + 0.00010506091456201729*GeV^2*mTv + 1.1303347378103252*^-6*mTv^2))/GeV^4)	1.0250789422513463*^-12*(1.2649933433893857*^-10 + (0.003313984681020635*(0.24430168128248061*GeV^4 + 0.010506091456201726*GeV^2*mTv + 0.00011303347378103253*mTv^2))/GeV^4)
4.	0.0017923920939699634*(1.2418646261566878*^-21 + (4.1684290849207795*^-9*(2.3851851509208424*^-7*GeV^4 + 1.0206366046606868*^-8*GeV^2*mTv + 1.0926425317949371*^-10*mTv^2))/GeV^4)	1.792392093969963*^-6*(1.1463046587827709*^-14 + (0.003771951791083055*(0.000023851879014781166*GeV^4 + 1.0206366046606866*^-6*GeV^2*mTv + 1.0926425317949372*^-8*mTv^2))/GeV^4)	1.792392093969963*^-9*(1.1634591189922032*^-12 + (0.004372348465279102*(0.0023851879460320123*GeV^4 + 0.00010206366046606868*GeV^2*mTv + 1.0926425317949374*^-6*mTv^2))/GeV^4)	1.7923920939699632*^-12*(1.1636282750555823*^-10 + (0.004402726136645111*(0.2385187948182384*GeV^4 + 0.010206366046606867*GeV^2*mTv + 0.00010926425317949373*mTv^2))/GeV^4)
5.	0.002754553932134181*(2.654554155810358*^-23 + (9.831940637948416*^-11*(2.3284253389575356*^-7*GeV^4 + 9.91331970614503*^-9*GeV^2*mTv + 1.0559450897921643*^-10*mTv^2))/GeV^4)	2.7545539321341815*^-6*(1.0438900820807153*^-14 + (0.004512689426438982*(0.00002328427864290374*GeV^4 + 9.913319706145032*^-7*GeV^2*mTv + 1.0559450897921646*^-8*mTv^2))/GeV^4)	2.754553932134181*^-9*(1.0680309105066395*^-12 + (0.005436209187837776*(0.002328427905196054*GeV^4 + 0.00009913319706145033*GeV^2*mTv + 1.0559450897921644*^-6*mTv^2))/GeV^4)	2.754553932134181*^-12*(1.0682729277677473*^-10 + (0.005483549381634735*(0.23284279071703462*GeV^4 + 0.009913319706145032*GeV^2*mTv + 0.00010559450897921645*mTv^2))/GeV^4)
6.	0.0039013238828391377*(5.040200001736541*^-25 + (2.05500979303739*^-12*(2.2727194378238933*^-7*GeV^4 + 9.626839018621471*^-9*GeV^2*mTv + 1.0202221841856144*^-10*mTv^2))/GeV^4)	3.901323882839138*^-6*(9.471345744118651*^-15 + (0.0051799084295700935*(0.000022727217515532713*GeV^4 + 9.62683901862147*^-7*GeV^2*mTv + 1.0202221841856147*^-8*mTv^2))/GeV^4)	3.901323882839138*^-9*(9.783590321167396*^-13 + (0.006488490656992842*(0.0022727217890313707*GeV^4 + 0.0000962683901862147*GeV^2*mTv + 1.0202221841856146*^-6*mTv^2))/GeV^4)	3.901323882839138*^-12*(9.786774771380777*^-11 + (0.006556479734329768*(0.2272721790840232*GeV^4 + 0.00962683901862147*GeV^2*mTv + 0.00010202221841856146*mTv^2))/GeV^4)
7.	0.005222805105147295*(8.741376077211825*^-27 + (3.9222392542250693*^-14*(2.218052701104691*^-7*GeV^4 + 9.346812001373468*^-9*GeV^2*mTv + 9.854538983205677*^-11*mTv^2))/GeV^4)	5.2228051051472935*^-6*(8.56136904550876*^-15 + (0.005777365292545751*(0.000022180548162721728*GeV^4 + 9.346812001373466*^-7*GeV^2*mTv + 9.85453898320568*^-9*mTv^2))/GeV^4)	5.222805105147294*^-9*(8.942043702278753*^-13 + (0.007529249276434341*(0.00221805485053394*GeV^4 + 0.00009346812001373467*GeV^2*mTv + 9.854538983205679*^-7*mTv^2))/GeV^4)	5.222805105147293*^-12*(8.945995392552609*^-11 + (0.007621542650733935*(0.22180548521875668*GeV^4 + 0.009346812001373465*GeV^2*mTv + 0.0000985453898320568*mTv^2))/GeV^4)
8.	0.006709434974614741*(1.4103798743841102*^-28 + (6.972436199864603*^-16*(2.1644105332272911*^-7*GeV^4 + 9.073128092245627*^-9*GeV^2*mTv + 9.51620622987628*^-11*mTv^2))/GeV^4)	6.70943497461474*^-6*(7.709285975965491*^-15 + (0.006308806465534939*(0.000021644124623133178*GeV^4 + 9.073128092245628*^-7*GeV^2*mTv + 9.516206229876282*^-9*mTv^2))/GeV^4)	6.70943497461474*^-9*(8.153345836807549*^-13 + (0.008558541855411102*(0.002164412493560912*GeV^4 + 0.00009073128092245629*GeV^2*mTv + 9.516206229876283*^-7*mTv^2))/GeV^4)	6.70943497461474*^-12*(8.158040314925772*^-11 + (0.00867876372131733*(0.21644124950690616*GeV^4 + 0.00907312809224563*GeV^2*mTv + 0.00009516206229876284*mTv^2))/GeV^4)
9.	0.008351975802983549*(2.1491041562386423*^-30 + (1.1620726999774339*^-17*(2.111778488384278*^-7*GeV^4 + 8.805678136645586*^-9*GeV^2*mTv + 9.18703052934386*^-11*mTv^2))/GeV^4)	8.351975802983547*^-6*(6.914821439510552*^-15 + (0.006777944673928321*(0.000021117802433260417*GeV^4 + 8.805678136645587*^-7*GeV^2*mTv + 9.187030529343863*^-9*mTv^2))/GeV^4)	8.351975802983546*^-9*(7.415240097832376*^-13 + (0.009576425594120096*(0.002111780271752824*GeV^4 + 0.0000880567813664559*GeV^2*mTv + 9.187030529343862*^-7*mTv^2))/GeV^4)	8.351975802983547*^-12*(7.420630340099418*^-11 + (0.00972816866785367*(0.2111780273124829*GeV^4 + 0.008805678136645586*GeV^2*mTv + 0.00009187030529343864*mTv^2))/GeV^4)
