0.	0.	0.	0.	0.
1.	4.741756150422387e-10	7.993181731002156e-10	8.285727862384031e-11	8.3000031427776e-12
2.	5.775709205653023e-11	2.937690606612176e-9	3.1587818991620164e-10	3.1696956900995546e-11
3.	3.0571462920947064e-12	6.06930601504343e-9	6.773861135022716e-10	6.8090631483698e-11
4.	1.0940253734152792e-13	9.900158131486054e-9	1.1476055755884296e-9	1.1555790324074343e-10
5.	3.0899140653795e-15	1.418275909428353e-8	1.7085330085081035e-9	1.7234118519673615e-10
6.	7.422931693338256e-17	1.8711117752447553e-8	2.34381492100438e-9	2.3683749655146904e-10
7.	1.5828657307220302e-18	2.3316018234559303e-8	3.0386331064483353e-9	3.075881399987316e-10
8.	3.0790332352807616e-20	2.7860620607910572e-8	3.779596532960403e-9	3.83268957088617e-10
9.	5.52681353432947e-22	3.2236394618029435e-8	4.554639575492065e-9	4.6268113317619035e-10
10.	2.2392012099557124e-26	3.635938892293217e-8	5.352926265361669e-9	5.44742524763636e-10
11.	3.7833946722376126e-28	4.0166831557829615e-8	6.164760247544527e-9	6.284794832557756e-10
12.	6.113654401453066e-30	4.361405227108513e-8	6.981500150216574e-9	7.130191503121084e-10
13.	9.503515450238964e-32	4.667171359148078e-8	7.79548008466555e-9	7.975822010940993e-10
14.	1.4277834167464623e-33	4.932333478936247e-8	8.599935006734559e-9	8.81476012776175e-10
14.999999999999998	2.0810924207953347e-35	5.156309108277738e-8	9.388930683471624e-9	9.640882367144834e-10
16.	2.9521813116120554e-37	5.339386934646102e-8	1.0157298020645073e-8	1.0448807536506488e-9
17.	4.086655828828241e-39	5.4825561064219285e-8	1.0900571518268052e-8	1.1233839922700732e-9
18.	5.532774124632891e-41	5.58735732038228e-8	1.1614931632275113e-8	1.1991915923374564e-9
18.999999999999996	7.340143463566041e-43	5.655753798712561e-8	1.229715083102755e-8	1.2719553944975067e-9
20.	9.558209485832841e-45	5.6900203092457076e-8	1.2944543145410006e-8	1.3413807396578673e-9
21.	1.2234596439368324e-46	5.692648459139631e-8	1.3554917020935756e-8	1.407222061665433e-9
22.	1.5413366385775092e-48	5.666266583003984e-8	1.4126531289518405e-8	1.4692787577478122e-9
23.	1.9133270986168385e-50	5.6135726468489555e-8	1.4658054087409625e-8	1.5273913219200598e-9
24.	2.3426070891996294e-52	5.537278695311702e-8	1.514852455426108e-8	1.581437727254183e-9
24.999999999999996	2.831499510630908e-54	5.440065478335325e-8	1.5597317156359482e-8	1.6313300435765325e-9
26.	3.3813406297125876e-56	5.3245460023855544e-8	1.6004108484819815e-8	1.6770112777971435e-9
27.	3.992372849363998e-58	5.1932368584848526e-8	1.636884638691856e-8	1.7184524246866933e-9
28.	4.66366815808478e-60	5.048536283363818e-8	1.6691721295818563e-8	1.7556497165017852e-9
29.	5.393085331788372e-62	4.892708009793795e-8	1.6973139630693378e-8	1.7886220604190708e-9
29.999999999999996	6.177262505730849e-64	4.727870056898131e-8	1.721369914571359e-8	1.817408653274169e-9
31.	7.011645273024139e-66	4.5559877004236094e-8	1.74141661125237e-8	1.8420667636133514e-9
32.	7.890549071060315e-68	4.378869946275167e-8	1.7575454226725937e-8	1.862669671555596e-9
32.99999999999999	8.807253350429605e-70	4.1981689079296586e-8	1.7698605134509052e-8	1.8793047574307063e-9
34.	9.75412393228731e-72	4.0153815596336805e-8	1.7784770480926355e-8	1.8920717306065034e-9
35.	1.0722759085525653e-73	3.831853402645567e-8	1.7835195386447827e-8	1.901080990345748e-9
36.	1.1704154216238036e-75	3.6487836413706875e-8	1.7851203263296966e-8	1.906452110941908e-9
37.	1.2688879666972932e-77	3.4672315202904875e-8	1.783418188774262e-8	1.9083124437731018e-9
37.99999999999999	1.3667265967773352e-79	3.2881235213690425e-8	1.778557064896065e-8	1.9067958292863784e-9
39.	1.4629590950176768e-81	3.112261165435715e-8	1.770684889931591e-8	1.9020414122802884e-9
40.	1.5566263405467244e-83	2.9403292002061724e-8	1.759952533495357e-8	1.894192554193609e-9
41.	1.646799840977471e-85	2.77290399244183e-8	1.7465128339436098e-8	1.88339583643236e-9
42.	1.7325980016958534e-87	2.6104619725876202e-8	1.7305197226827448e-8	1.869800149076853e-9
42.99999999999999	1.8132007699503354e-89	2.4533880073926062e-8	1.7121274324116713e-8	1.853555859605786e-9
44.	1.8878623661901988e-91	2.3019835998228445e-8	1.69148978361969e-8	1.8348140565561734e-9
44.99999999999999	1.9559218925442394e-93	2.1564748363233626e-8	1.6687595439777842e-8	1.8137258633065855e-9
46.	2.0168116856405453e-95	2.0170200194657875e-8	1.6440878555622017e-8	1.7904418174272782e-9
47.	2.0700633553665763e-97	1.8837169395031053e-8	1.617623725135635e-8	1.7651113112851696e-9
48.	2.1153115203109458e-99	1.7566097515990622e-8	1.589513572983539e-8	1.7378820898242057e-9
49.	2.1522953127160885e-101	1.6356954367469935e-8	1.5599008360620686e-8	1.7088998016635325e-9
49.99999999999999	2.1808577794350398e-103	1.5209298338617564e-8	1.5289256214602244e-8	1.6783075998671273e-9
51.	2.2009433498107855e-105	1.4122332384241406e-8	1.496724406412544e-8	1.6462457889397427e-9
52.	2.212593576153202e-107	1.3094955695660751e-8	1.4634297813207553e-8	1.6128515147955233e-9
53.	2.215941377603953e-109	1.2125811127786939e-8	1.4291702324537602e-8	1.578258494628116e-9
54.	2.211204033979328e-111	1.1213328496586204e-8	1.3940699611953556e-8	1.5425967837844573e-9
54.99999999999999	2.1986751833096742e-113	1.0355763894213304e-8	1.3582487368991469e-8	1.5059925769096464e-9
