0.	0.	0.	0.	0.
1.	(0.00011773845539128264*(0.0000635724123675638*(8.641407427453811*^-8*GeV^4 - 1.4073177951942128*^-9*GeV^2*mTv + 5.753714977203503*^-12*mTv^2) + 0.00021938984664714818*(9.42002125217894*^-18*mTv^2 + 1.27795621497012*^-13*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(1.1773845539128264*^-7*(0.0010715205254946817*(8.641440819583496*^-6*GeV^4 - 1.4073232333521421*^-7*GeV^2*mTv + 5.753738826718654*^-10*mTv^2) + 0.0011044488364370876*(9.42002125217894*^-16*mTv^2 + 1.27795621497012*^-11*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.1773845539128263*^-10*(0.001110733137154355*(0.0008641441360473684*GeV^4 - 0.000014073233214401526*GeV^2*mTv + 5.7537393550075164*^-8*mTv^2) + 0.0011055232416545557*(9.420021252178939*^-14*mTv^2 + 1.27795621497012*^-9*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.1773845539128263*^-13*(0.0011126465722491041*(0.08641441386579475*GeV^4 - 0.0014073233256916761*GeV^2*mTv + 5.753739389269776*^-6*mTv^2) + 0.0011055333643715714*(9.42002125217894*^-12*mTv^2 + 1.27795621497012*^-7*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
2.	(0.0004632085420720771*(4.040610379919409*^-6*(8.416411499000688*^-8*GeV^4 - 1.3706755263720818*^-9*GeV^2*mTv + 5.604025390649773*^-12*mTv^2) + 0.00001222310145196368*(9.670485075791485*^-18*mTv^2 + 1.1794998376491086*^-13*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(4.6320854207207703*^-7*(0.002055014028540935*(8.416442318531969*^-6*GeV^4 - 1.3706805455631309*^-7*GeV^2*mTv + 5.604047579791392*^-10*mTv^2) + 0.0011012424603118129*(9.670485075791485*^-16*mTv^2 + 1.1794998376491086*^-11*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(4.6320854207207705*^-10*(0.002209665762312666*(0.0008416442817750865*GeV^4 - 0.000013706806268646595*GeV^2*mTv + 5.604048084960097*^-8*mTv^2) + 0.0011054673885161942*(9.670485075791484*^-14*mTv^2 + 1.1794998376491087*^-9*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(4.63208542072077*^-13*(0.002217299837316303*(0.08416442841845415*GeV^4 - 0.0013706806307886366*GeV^2*mTv + 5.604048118339513*^-6*mTv^2) + 0.001105507774041215*(9.670485075791486*^-12*mTv^2 + 1.1794998376491086*^-7*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
3.	(0.0010250789422513462*(1.4880129405578812*^-7*(8.195989345109929*^-8*GeV^4 - 1.334778130926985*^-9*GeV^2*mTv + 5.457376747151357*^-12*mTv^2) + 4.3050072119991017*^-7*(9.917317196141939*^-18*mTv^2 + 1.0867627623075971*^-13*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(1.0250789422513462*^-6*(0.0029539565393929272*(8.196017741484291*^-6*GeV^4 - 1.3347827554888163*^-7*GeV^2*mTv + 5.457397374350063*^-10*mTv^2) + 0.0010960364527045113*(9.917317196141939*^-16*mTv^2 + 1.0867627623075971*^-11*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.0250789422513463*^-9*(0.003296852506033525*(0.0008196018201452564*GeV^4 - 0.00001334782830398088*GeV^2*mTv + 5.457397857938269*^-8*mTv^2) + 0.0011053745810015224*(9.917317196141938*^-14*mTv^2 + 1.086762762307597*^-9*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.0250789422513463*^-12*(0.003313984681020635*(0.081960182236527*GeV^4 - 0.0013347828340135462*GeV^2*mTv + 5.457397890505772*^-6*mTv^2) + 0.0011054652100745941*(9.91731719614194*^-12*mTv^2 + 1.0867627623075972*^-7*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
4.	(0.0017923920939699634*(4.1684290849207795*^-9*(7.980070746731965*^-8*GeV^4 - 1.299614173161805*^-9*GeV^2*mTv + 5.313722383400318*^-12*mTv^2) + 1.1797275128604875*^-8*(1.0160386744116988*^-17*mTv^2 + 9.995035873366069*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(1.792392093969963*^-6*(0.003771951791083055*(7.980096863083231*^-6*GeV^4 - 1.2996184264048313*^-7*GeV^2*mTv + 5.313741542880609*^-10*mTv^2) + 0.0010889489205297737*(1.0160386744116988*^-15*mTv^2 + 9.99503587336607*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.792392093969963*^-9*(0.004372348465279102*(0.0007980097286119386*GeV^4 - 0.000012996184952994315*GeV^2*mTv + 5.313742006357872*^-8*mTv^2) + 0.0011052450515663245*(1.0160386744116988*^-13*mTv^2 + 9.99503587336607*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(1.7923920939699632*^-12*(0.004402726136645111*(0.07980097306537011*GeV^4 - 0.0012996184986245945*GeV^2*mTv + 5.3137420381808905*^-6*mTv^2) + 0.0011054057438493103*(1.0160386744116989*^-11*mTv^2 + 9.995035873366069*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
5.	(0.002754553932134181*(9.831940637948416*^-11*(7.768586278100178*^-8*GeV^4 - 1.2651723465714803*^-9*GeV^2*mTv + 5.173016163088799*^-12*mTv^2) + 2.746635997732178*^-10*(1.0399576035811596*^-17*mTv^2 + 9.1748851628271*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(2.7545539321341815*^-6*(0.004512689426438982*(7.768610251453222*^-6*GeV^4 - 1.265176250811228*^-7*GeV^2*mTv + 5.17303394500322*^-10*mTv^2) + 0.0010801008032445783*(1.0399576035811596*^-15*mTv^2 + 9.1748851628271*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(2.754553932134181*^-9*(0.005436209187837776*(0.0007768610639776808*GeV^4 - 0.000012651763140526261*GeV^2*mTv + 5.1730343897713596*^-8*mTv^2) + 0.0011050790347858321*(1.0399576035811595*^-13*mTv^2 + 9.1748851628271*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(2.754553932134181*^-12*(0.005483549381634735*(0.0776861065851905*GeV^4 - 0.0012651763171049404*GeV^2*mTv + 5.173034420913941*^-6*mTv^2) + 0.0011053294472024345*(1.0399576035811597*^-11*mTv^2 + 9.1748851628271*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
6.	(0.0039013238828391377*(2.05500979303739*^-12*(7.561467300386509*^-8*GeV^4 - 1.231441472809778*^-9*GeV^2*mTv + 5.0352124726952455*^-12*mTv^2) + 5.691979798574162*^-12*(1.0634780083065442*^-17*mTv^2 + 8.404911873376941*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(3.901323882839138*^-6*(0.0051799084295700935*(7.561489261851539*^-6*GeV^4 - 1.231445049398523*^-7*GeV^2*mTv + 5.035228963255481*^-10*mTv^2) + 0.0010696144793479647*(1.063478008306544*^-15*mTv^2 + 8.404911873376941*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(3.901323882839138*^-9*(0.006488490656992842*(0.0007561489617586291*GeV^4 - 0.000012314451073325867*GeV^2*mTv + 5.0352293906509064*^-8*mTv^2) + 0.001104876767277493*(1.063478008306544*^-13*mTv^2 + 8.404911873376942*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(3.901323882839138*^-12*(0.006556479734329768*(0.0756148963475565*GeV^4 - 0.001231445110128745*GeV^2*mTv + 5.035229421173843*^-6*mTv^2) + 0.00110523639241937*(1.0634780083065443*^-11*mTv^2 + 8.404911873376941*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
7.	(0.005222805105147295*(3.9222392542250693*^-14*(7.358645955390862*^-8*GeV^4 - 1.1984105006615643*^-9*GeV^2*mTv + 4.900266217293016*^-12*mTv^2) + 1.07984926566659*^-13*(1.0865906114211244*^-17*mTv^2 + 7.682925053719305*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(5.2228051051472935*^-6*(0.005777365292545751*(7.358666030353272*^-6*GeV^4 - 1.1984137700192558*^-7*GeV^2*mTv + 4.900281498898018*^-10*mTv^2) + 0.0010576125625532701*(1.0865906114211243*^-15*mTv^2 + 7.682925053719306*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(5.222805105147294*^-9*(0.007529249276434341*(0.0007358666355530203*GeV^4 - 0.000011984138229767494*GeV^2*mTv + 4.9002819101939744*^-8*mTv^2) + 0.0011046384876250094*(1.0865906114211242*^-13*mTv^2 + 7.682925053719305*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(5.222805105147293*^-12*(0.007621542650733935*(0.07358666371224702*GeV^4 - 0.0011984138255327157*GeV^2*mTv + 4.9002819401549245*^-6*mTv^2) + 0.001105126652222836*(1.0865906114211243*^-11*mTv^2 + 7.682925053719306*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
8.	(0.006709434974614741*(6.972436199864603*^-16*(7.160055159264138*^-8*GeV^4 - 1.1660685050205515*^-9*GeV^2*mTv + 4.768132816381348*^-12*mTv^2) + 1.910333979179135*^-15*(1.1092873104915966*^-17*mTv^2 + 7.006804764889439*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(6.70943497461474*^-6*(0.006308806465534939*(7.160073467570061*^-6*GeV^4 - 1.1660714866650279*^-7*GeV^2*mTv + 4.768146967742488*^-10*mTv^2) + 0.0010442168689466919*(1.1092873104915964*^-15*mTv^2 + 7.006804764889439*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(6.70943497461474*^-9*(0.008558541855411102*(0.0007160073764130452*GeV^4 - 0.000011660715349621043*GeV^2*mTv + 4.768147364151274*^-8*mTv^2) + 0.0011043644363036452*(1.1092873104915965*^-13*mTv^2 + 7.006804764889439*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(6.70943497461474*^-12*(0.00867876372131733*(0.0716007377844379*GeV^4 - 0.0011660715372931382*GeV^2*mTv + 4.76814739360488*^-6*mTv^2) + 0.0011050002997619775*(1.1092873104915967*^-11*mTv^2 + 7.006804764889439*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
9.	(0.008351975802983549*(1.1620726999774339*^-17*(6.965628596264772*^-8*GeV^4 - 1.1344046858725083*^-9*GeV^2*mTv + 4.63876819973859*^-12*mTv^2) + 3.191346017600617*^-17*(1.1315611318996582*^-17*mTv^2 + 6.374500450787726*^-14*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4	(8.351975802983547*^-6*(0.006777944673928321*(6.9656452524023806*^-6*GeV^4 - 1.1344073984490243*^-7*GeV^2*mTv + 4.6387812960019243*^-10*mTv^2) + 0.0010295475379384022*(1.1315611318996581*^-15*mTv^2 + 6.374500450787725*^-12*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(8.351975802983546*^-9*(0.009576425594120096*(0.0006965645522200729*GeV^4 - 0.000011344074423877018*GeV^2*mTv + 4.6387816786770304*^-8*mTv^2) + 0.0011040548556067733*(1.1315611318996579*^-13*mTv^2 + 6.374500450787725*^-10*(1.*GeV^4 - 0.01628574751287799*GeV^2*mTv + 0.00006630639301330289*mTv^2))))/GeV^4	(8.351975802983547*^-12*(0.00972816866785367*(0.06965645535222409*GeV^4 - 0.00113440744450838*GeV^2*mTv + 4.6387817076750295*^-6*mTv^2) + 0.0011048574086015928*(1.1315611318996582*^-11*mTv^2 + 6.374500450787726*^-8*(1.*GeV^4 - 0.016285747512877986*GeV^2*mTv + 0.0000663063930133029*mTv^2))))/GeV^4
