1.	0.	4.338980028913629e-8	1.9661057523939733e-7	3.299160863333062e-7	3.929620197170623e-7	4.049293051168006e-7	3.9078741059863227e-7	3.660470202719718e-7	3.385655545308581e-7	3.1188275882138824e-7	2.65454913850317e-7	2.2890251848741015e-7	2.0039436798778467e-7	1.7790217834959624e-7	1.598502635881138e-7	1.4510477767625473e-7	1.3286103534308988e-7	1.225439955267117e-7	1.1373675955199405e-7	9.649047226154025e-8	8.386242636722895e-8	7.420695866505183e-8	6.6577292841224e-8	5.5270865252109416e-8	4.728049919345929e-8	4.132558593759982e-8	3.303077417889243e-8	1.652313094031636e-8	1.1024769421472368e-8	6.621029717907206e-9	4.7315238659177924e-9	4.140725076693767e-9	3.313321510510079e-9	1.6574420637477482e-9
2.	0.	0.	3.201907910804995e-9	4.14850607564571e-8	1.0869104851418872e-7	1.7206349591048624e-7	2.1554743840301086e-7	2.387088789449406e-7	2.467647878540447e-7	2.4517356792443893e-7	2.2803232200820734e-7	2.0540851971199317e-7	1.8374639245685733e-7	1.6480617251542827e-7	1.487291207728439e-7	1.351762547395265e-7	1.2372197714854734e-7	1.1397766074119834e-7	1.0562078580535333e-7	8.923401055288231e-8	7.727851909613783e-8	6.819034016639694e-8	6.105020327470483e-8	5.0542532860601834e-8	4.316894687965225e-8	3.769932908783256e-8	3.0110952810568274e-8	1.5071505049677938e-8	1.0064822615001002e-8	6.050182613540293e-9	4.32561640660633e-9	3.7860889695433374e-9	3.0302285595258555e-9	1.5165450024267698e-9
3.	0.	0.	0.	1.032305218863987e-9	1.702676893691305e-8	5.114324546846296e-8	9.091861882532639e-8	1.2556444388097238e-7	1.5064151371516086e-7	1.6613717451361439e-7	1.7601255591004937e-7	1.7037263442125946e-7	1.5884142655343399e-7	1.4598055987031103e-7	1.3366529175180455e-7	1.2254025941659544e-7	1.1272873839101372e-7	1.0415124676820452e-7	9.666289498458851e-8	8.173151539321299e-8	7.071818293064328e-8	6.232357976666489e-8	5.573183370589178e-8	4.605661989212536e-8	3.929371722703439e-8	3.4292900365779276e-8	2.737577921756527e-8	1.3712355779645906e-8	9.165113102878235e-9	5.514524735881054e-9	3.9445014553022275e-9	3.453047266919954e-9	2.764296821954924e-9	1.3841083660876122e-9
4.	0.	0.	0.	0.	8.707141693347065e-10	1.0577233387268542e-8	3.110062790237995e-8	5.6749730818773594e-8	8.148109057170127e-8	1.0177986243898437e-7	1.2612908975235844e-7	1.3349637865321033e-7	1.313474227041914e-7	1.248427687267501e-7	1.1679547463590058e-7	1.0858020927018841e-7	1.0080562667129177e-7	9.36994848513287e-8	8.730932473509617e-8	7.418326078440001e-8	6.427841367451266e-8	5.66552544439897e-8	5.0646145850146686e-8	4.1816338363338056e-8	3.5651165950827527e-8	3.110032743495166e-8	2.481862324283218e-8	1.2442040038567903e-8	8.32333832735079e-9	5.012764235744356e-9	3.587288527403792e-9	3.1408300909332285e-9	2.5149210985163856e-9	1.2598407505811385e-9
5.	0.	0.	0.	0.	0.	1.0703898812625245e-9	8.289123149708666e-9	2.2253786159506147e-8	3.98387025366421e-8	5.7558028302340576e-8	8.532988010365773e-8	1.0005564931347119e-7	1.0483166818766868e-7	1.0373762047759537e-7	9.967034391321477e-8	9.433937060351504e-8	8.866882380458311e-8	8.312388170497611e-8	7.791769725325679e-8	6.675302755498699e-8	5.803894499075303e-8	5.122495967769567e-8	4.581210772724866e-8	3.7823159945912405e-8	3.223700981900348e-8	2.811543158351763e-8	2.2432917508534993e-8	1.1257002657674945e-8	7.53724936040297e-9	4.543637286483365e-9	3.2531056555286283e-9	2.848683337823615e-9	2.2815083190271573e-9	1.1434563102125573e-9
6.	0.	0.	0.	0.	0.	1.695675243930901e-12	1.4164290203607513e-9	7.326686513381523e-9	1.7589199591741032e-8	3.026538629834718e-8	5.5001067825576864e-8	7.227172601311542e-8	8.122436817808318e-8	8.412119506980178e-8	8.333430176482879e-8	8.05588856662236e-8	7.684630943063131e-8	7.280406533240153e-8	6.876395236724867e-8	5.957064640860664e-8	5.206340227479036e-8	4.6063904113682354e-8	4.124402679682824e-8	3.4076939044915714e-8	2.9046378969944263e-8	2.5331851911351647e-8	2.021216304839767e-8	1.0153775516554155e-8	6.804650387271007e-9	4.10590786891077e-9	2.9410992704295346e-9	2.5758685834826765e-9	2.0634774777968598e-9	1.0346747364656143e-9
7.	0.	0.	0.	0.	0.	0.	6.520906140658696e-11	1.8235718135858635e-9	6.857623823669857e-9	1.4752524564941873e-8	3.392937395625028e-8	5.0543912921642095e-8	6.13282248664509e-8	6.676872234397549e-8	6.8423889227182e-8	6.772735197530323e-8	6.570443680198178e-8	6.301297145486855e-8	6.005153264003892e-8	5.273519088761103e-8	4.640067031560276e-8	4.119558291135781e-8	3.695191481674963e-8	3.057604219095951e-8	2.6073870729416474e-8	2.2743069904143045e-8	1.8149934960864166e-8	9.128976677357647e-9	6.123398196813566e-9	3.6983675603292847e-9	2.6504340848393928e-9	2.321662991539377e-9	1.8602595710836166e-9	9.33221237775265e-10
8.	0.	0.	0.	0.	0.	0.	0.	2.490027204602224e-10	2.2301864767992765e-9	6.570625458700859e-9	2.005165395893788e-8	3.431855490740155e-8	4.524086751169365e-8	5.198182379867162e-8	5.526356578193831e-8	5.6131948163759685e-8	5.5476464996145576e-8	5.39334631528874e-8	5.192153440763197e-8	4.631850447906101e-8	4.1086380345279584e-8	3.6636496744874094e-8	3.294187131176873e-8	2.731748097948992e-8	2.331360414596678e-8	2.03424341206247e-8	1.623988802747023e-8	8.17930952301455e-9	5.491401675766968e-9	3.319835325893265e-9	2.3802929789743584e-9	2.085359222900581e-9	1.6712975357214592e-9	8.38826519904716e-10
9.	0.	0.	0.	0.	0.	0.	0.	2.7702387900268375e-12	5.26957173545581e-10	2.5904528777517867e-9	1.1327233472261455e-8	2.265168724648828e-8	3.266048181287417e-8	3.9754502153809935e-8	4.395814623413364e-8	4.590522985400262e-8	4.628991312513082e-8	4.567480970380881e-8	4.4462945653635193e-8	4.0368828975972776e-8	3.614444343019498e-8	3.239689004306601e-8	2.9216474909059907e-8	2.4297046215226387e-8	2.0759274569706484e-8	1.8123184752736106e-8	1.4475762246924097e-8	7.3015618952838e-9	4.90662130426212e-9	2.969157310720285e-9	2.12987688656133e-9	1.8662653457522536e-9	1.4960461881233257e-9	7.512267665278935e-10
10.	0.	0.	0.	0.	0.	0.	0.	0.	5.890639356110224e-11	8.464441667981403e-10	6.08037818827448e-9	1.4534120863535783e-8	2.3096978246014785e-8	2.9896491580240207e-8	3.4465759807712253e-8	3.706981498649613e-8	3.819081922064782e-8	3.828794267459761e-8	3.7722397261800026e-8	3.491436716456489e-8	3.158857480676744e-8	2.8481487666168277e-8	2.577517384946675e-8	2.150944129802459e-8	1.8404207695565348e-8	1.607847784960483e-8	1.2851388241114625e-8	6.492605229013779e-9	4.367068650302589e-9	2.645206631354474e-9	1.898404680382646e-9	1.6637047451379976e-9	1.3339721629505437e-9	6.701636196605494e-10
