1.	0.	2.623374698576651e-19	1.739420902757695e-18	3.9191262634346395e-18	5.8860351347624804e-18	7.297836364684627e-18	8.177928595554411e-18	8.653340695583512e-18	8.848890698706062e-18	8.860293491358086e-18	8.576847499435893e-18	8.114532250756425e-18	7.608173583890163e-18	7.113825213201445e-18	6.653039642025126e-18	6.2322619980210296e-18	5.851421121176184e-18	5.507797715261593e-18	5.19777877931636e-18	4.545923402491614e-18	4.031407126799027e-18	3.6174758978646274e-18	3.2783945723614226e-18	2.75776328889717e-18	2.377934855228744e-18	2.0891774494744133e-18	1.679921939724561e-18	8.469085579872671e-19	5.658242275575346e-19	3.4000868525142283e-19	2.4300695627632033e-19	2.1266886917020913e-19	1.7017646016841988e-19	8.512792895535271e-20
2.	0.	0.	1.303596474461622e-19	2.3176608137903476e-18	7.891080634170747e-18	1.554489946944958e-17	2.340588522500952e-17	3.029430241934561e-17	3.577305349747561e-17	3.984298817267042e-17	4.454764415497259e-17	4.614291990745569e-17	4.5973252629246704e-17	4.4866420232141254e-17	4.329788588494956e-17	4.153395907710017e-17	3.9721579546723236e-17	3.794014193026336e-17	3.6230783413400034e-17	3.237145909809369e-17	2.911472620471013e-17	2.6383659796076788e-17	2.4083103098824098e-17	2.045540074299696e-17	1.7746130452662022e-17	1.5656058602719872e-17	1.2654857292603225e-17	6.4331319503713405e-18	4.307350503808322e-18	2.5922649508551418e-18	1.853813041523021e-18	1.6226640769991796e-18	1.2987637727341192e-18	6.499890407337672e-19
3.	0.	0.	0.	1.43252233258691e-19	3.0882009251646557e-18	1.1665169621166498e-17	2.5258379075786398e-17	4.137241402005535e-17	5.75729547550537e-17	7.228436414177884e-17	9.486545839516835e-17	1.0857321922503211e-16	1.1560467457387232e-16	1.1819134185355063e-16	1.179878941322084e-16	1.161008239902184e-16	1.1324074340552804e-16	1.098561496345791e-16	1.062274318660454e-16	9.706737096064438e-17	8.859365139067253e-17	8.11066593219405e-17	7.45859238602395e-17	6.398341492832856e-17	5.585671632330062e-17	4.948708764572999e-17	4.021271427904634e-17	2.0615092244089028e-17	1.3833181018571351e-17	8.337874601280881e-18	5.966242019657767e-18	5.223256305307278e-18	4.181665277964126e-18	2.0937707921623316e-18
4.	0.	0.	0.	0.	3.059005672457305e-19	4.685013861161419e-18	1.6867955010040383e-17	3.676602062257171e-17	6.1736193874607e-17	8.85695051222666e-17	1.3848128185978815e-16	1.7647146796448622e-16	2.017360620297705e-16	2.1672694192773671e-16	2.2427505238643383e-16	2.267167717147321e-16	2.257680465353803e-16	2.2262817955054193e-16	2.1811648149181575e-16	2.0403457624155803e-16	1.8908367549465177e-16	1.749391554089608e-16	1.621083934573157e-16	1.4048842141924718e-16	1.2342923131903976e-16	1.0982606329647322e-16	8.972391739681323e-17	4.639006190100476e-17	3.119729701041558e-17	1.883292520251396e-17	1.3484143153545481e-17	1.1807063925884097e-17	9.454893282783245e-18	4.736321952430303e-18
5.	0.	0.	0.	0.	0.	8.025639463434499e-19	7.622379485621517e-18	2.4525313502861157e-17	5.158088676725671e-17	8.604899120180827e-17	1.6288382906052217e-16	2.3285905837951313e-16	2.870010736325483e-16	3.248383718960287e-16	3.4908966106075033e-16	3.6300027295196324e-16	3.6941107622890943e-16	3.7053813394697023e-16	3.680217696438368e-16	3.527411625271865e-16	3.320864273819184e-16	3.1059976528422787e-16	2.900864805333032e-16	2.540336477510019e-16	2.2464315891170816e-16	2.0076294507580677e-16	1.649116638686132e-16	8.600037444822837e-17	5.796338471815387e-17	3.504494852940039e-17	2.5106846104796642e-17	2.19881714715477e-17	1.7612094961526853e-17	8.826754035458221e-18
6.	0.	0.	0.	0.	0.	1.978572945590393e-21	2.027096170587494e-18	1.2581919990020069e-17	3.557046875834752e-17	7.090021072379762e-17	1.6583660499401449e-16	2.680752211415008e-16	3.5771539761560866e-16	4.2762437570046005e-16	4.780034456528889e-16	5.118787309387271e-16	5.327990513903429e-16	5.439646462160111e-16	5.479715048943936e-16	5.3859752369708e-16	5.153614271813776e-16	4.8742557463295665e-16	4.589099284676495e-16	4.0618073998192186e-16	3.6157516768437413e-16	3.245808958748841e-16	2.680949002820552e-16	1.4102836460562597e-16	9.526367178951697e-17	5.768636984743092e-17	4.135254019040095e-17	3.622245190888936e-17	2.902066308203898e-17	1.4551355888291014e-17
7.	0.	0.	0.	0.	0.	0.	1.3718098524488186e-19	4.604168956800719e-18	2.0410948797422817e-17	5.095904348583751e-17	1.5165982280189398e-16	2.7976944275894267e-16	4.059123329181101e-16	5.137783294214113e-16	5.983149174759535e-16	6.60519733859405e-16	7.037351305167355e-16	7.317360355940798e-16	7.479708742449982e-16	7.544729449031189e-16	7.340703529028371e-16	7.022669905132328e-16	6.666449894133436e-16	5.964987453430484e-16	5.345852961377083e-16	4.820647877682641e-16	4.0040611208854385e-16	2.1248270293085338e-16	1.4385265521330476e-16	8.724514739688368e-17	6.257971638371314e-17	5.4826212011655404e-17	4.393652504790491e-17	2.2040866329999787e-17
8.	0.	0.	0.	0.	0.	0.	0.	8.87286016100805e-19	9.371135224272625e-18	3.207289911606232e-17	1.2710304767135287e-16	2.7069578574394584e-16	4.290560122946714e-16	5.764578314713932e-16	7.004660294220479e-16	7.980262402375755e-16	8.709159847031305e-16	9.227667362958182e-16	9.5751569816109e-16	9.91888021216714e-16	9.817133348297783e-16	9.502378902463552e-16	9.096500275624396e-16	8.230061741744507e-16	7.4265620874196e-16	6.727742635129953e-16	5.619859058549402e-16	3.008767502386589e-16	2.041560793536447e-16	1.2401279367533945e-16	8.900680251412167e-17	7.799327331637788e-17	6.251769842911232e-17	3.1377147205167236e-17
9.	0.	0.	0.	0.	0.	0.	0.	1.3519678115898552e-20	3.032488364847447e-18	1.732394897654359e-17	9.858999708170316e-17	2.4621296242508565e-16	4.2868346064986525e-16	6.129995529007487e-16	7.784423421403121e-16	9.161792270730667e-16	1.0249132012842351e-15	1.10710922414758e-15	1.1666365124230943e-15	1.241922762156198e-15	1.2508791269032144e-15	1.225334983351222e-15	1.1830937961896071e-15	1.0825519721386144e-15	9.83689505893673e-16	8.952843024607834e-16	7.521562530901373e-16	4.0629951922226854e-16	2.763155013241111e-16	1.6810995894173742e-16	1.2073011458825814e-16	1.0581059466907351e-16	8.48366961029443e-17	4.259929681228416e-17
10.	0.	0.	0.	0.	0.	0.	0.	0.	4.537975136891368e-19	7.578344722495494e-18	7.094176903594035e-17	2.1232071381524342e-16	4.08823301482097e-16	6.240441638226742e-16	8.295362097276448e-16	1.0096259744354431e-15	1.1585747195991415e-15	1.2765446307858788e-15	1.3665630102218075e-15	1.4958818009237173e-15	1.533831804809056e-15	1.5209405795781595e-15	1.4813862055781176e-15	1.3711410785806273e-15	1.2547629019399758e-15	1.1473960897129043e-15	9.69574155658909e-16	5.28479794775243e-16	3.602287606952538e-16	2.1950974676430106e-16	1.577402400076379e-16	1.3827253622796506e-16	1.1089185933227443e-16	5.570924138457161e-17
11.	0.	0.	0.	0.	0.	0.	0.	0.	5.205424387261306e-22	2.3179823078229833e-18	4.711719688906717e-17	1.7443223282143915e-16	3.746177584065447e-16	6.124954492812483e-16	8.537566659991455e-16	1.0756899760172418e-15	1.2671078991686307e-15	1.4248001601049546e-15	1.5500889531932116e-15	1.7457570718395672e-15	1.8229563482404842e-15	1.8302227408906578e-15	1.798531175352738e-15	1.6842100290596324e-15	1.5523518993749361e-15	1.4263208338297587e-15	1.21236738670966e-15	6.668439304085176e-16	4.55586651333194e-16	2.7805892137984717e-16	1.9993696167569077e-16	1.7529385895725292e-16	1.4061769255800672e-16	7.067684013337126e-17
12.	0.	0.	0.	0.	0.	0.	0.	0.	0.	3.0680792459814947e-19	2.8475593814744786e-17	1.3678514726485132e-16	3.313089600465481e-16	5.825482956432292e-16	8.531180739754968e-16	1.1139554890108265e-15	1.3479266318056961e-15	1.54757523360691e-15	1.711685860933538e-15	1.9845255983741746e-15	2.111084422873779e-15	2.14644622895788e-15	2.1284107687663395e-15	2.016857796372525e-15	1.8725193893103577e-15	1.728839023430465e-15	1.4782538580560602e-15	8.205678058070704e-16	5.619060749727597e-16	3.4349715709826497e-16	2.4714282555448204e-16	2.167215481166088e-16	1.7389426936500685e-16	8.744453730704895e-17
13.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.0956389212661654e-23	1.5213268096294774e-17	1.0229813491785231e-16	2.835990841547406e-16	5.3889770729328e-16	8.309438776429765e-16	1.1257638674155026e-15	1.4003469718981568e-15	1.6424171260868388e-15	1.8474956196418928e-15	2.206316349904613e-15	2.3917201504409816e-15	2.4632068537034446e-15	2.465009289796125e-15	2.364036768826139e-15	2.2110764030822538e-15	2.0514374583900332e-15	1.7646460653629347e-15	9.88623399903108e-16	6.785599388912555e-16	4.154744709493758e-16	2.9911544813198645e-16	2.623455440065017e-16	2.1055577498580599e-16	1.059315927662902e-16
14.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	6.7832767487253966e-18	7.268639889136938e-17	2.353220444647164e-16	4.861621790925374e-16	7.912607298929132e-16	1.1137046152695783e-15	1.4252184771168938e-15	1.7084897739924465e-15	1.9552281061725885e-15	2.4064708860463755e-15	2.6591838438676506e-15	2.7746008702189176e-15	2.80258542802624e-15	2.72070844861264e-15	2.5637170312821975e-15	2.390426238558769e-15	2.0687419665243856e-15	1.1698204047886421e-15	8.04804043725121e-16	4.935669712070189e-16	3.5555865447913215e-16	3.1190845825748737e-16	2.503982468233488e-16	1.2603792072489166e-16
14.999999999999998	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	2.221700332342002e-18	4.869413720104132e-17	1.8934177771250866e-16	4.285094182374314e-16	7.38315674728634e-16	1.08115155649936e-15	1.424543757992769e-15	1.7462954920883255e-15	2.033979878429475e-15	2.581509444782703e-15	2.908689738776869e-15	3.0753400287671047e-15	3.135799894226386e-15	3.081968126306744e-15	2.9261303178150344e-15	2.7420377432146286e-15	2.38760355645761e-15	1.3628432782824596e-15	9.398011920197987e-16	5.772910463149862e-16	4.1613253209724155e-16	3.6511434923953847e-16	2.931865707932806e-16	1.476475645490366e-16
