0.	6.677400025806691e-7	5.564500021505574e-7	3.338700012903345e-7	1.112900004301115e-7	6.67740002580669e-8	3.338700012903345e-8	1.1129000043011152e-8	6.677400025806691e-9	4.769571447004778e-9	4.1733750161291815e-9	3.3387000129033455e-9	1.6693500064516728e-9	1.1129000043011146e-9	6.677400025806688e-10
1.	3.017700662563296e-8	6.559884638730232e-8	1.4915449581112892e-7	9.497312840047656e-8	6.036476922541807e-8	3.1057848453882185e-8	1.047961404801152e-8	6.298989981724442e-9	4.502417610853751e-9	3.94044179223935e-9	3.1532585128805185e-9	1.5774984819555526e-9	1.051851727654385e-9	6.31198819485716e-10
2.	8.870478523805669e-10	5.9281706113577705e-9	6.28354541137274e-8	8.096860346450534e-8	5.459164578920042e-8	2.891147128939287e-8	9.875616850886739e-9	5.946564369308193e-9	4.253480898966867e-9	3.7233587991356466e-9	2.980399253223896e-9	1.4918445899398948e-9	9.949153005083553e-10	5.971153773135535e-10
3.	2.098420625909353e-11	4.612542172745685e-10	2.5363211198917344e-8	6.897056517028433e-8	4.9391832310111695e-8	2.693328137597919e-8	9.313823958931517e-9	5.618340445962011e-9	4.02152275102475e-9	3.521051372900754e-9	2.8192723883907814e-9	1.4119728125995542e-9	9.418157077927032e-10	5.653256056745355e-10
4.	4.326602691516249e-13	3.249289111196477e-11	9.9068486606448e-9	5.870807067961294e-8	4.470848240950582e-8	2.5109838069711896e-8	8.791270754657365e-9	5.312655762421901e-9	3.80538740438021e-9	3.3325164867616527e-9	2.669084501782321e-9	1.3374950124373618e-9	8.922960115776685e-10	5.356761976873909e-10
5.	8.095358680564988e-15	2.129560326818149e-12	3.769531933031052e-9	4.994253438262681e-8	4.0490185563369405e-8	2.3428760913061353e-8	8.305198076532066e-9	5.02796048604809e-9	3.6039966695310293e-9	3.1568182464527097e-9	2.5290950744375833e-9	1.268048734882734e-9	8.461162338675458e-10	5.080239463922238e-10
6.	1.4076822269107014e-16	1.3204274467794511e-13	1.403823602721723e-9	4.246494221940879e-8	3.669048822069267e-8	2.1878649279553583e-8	7.853038673305424e-9	4.762810174337195e-9	3.4163450078217543e-9	2.9930836450590447e-9	2.398613155943313e-9	1.2032956069827775e-9	8.030523023868831e-10	4.822351184656579e-10
7.	2.3096139569650944e-18	7.832762242490099e-15	5.134907643631125e-10	3.609300501792209e-8	3.326745022173519e-8	2.0449007706541163e-8	7.432404483535062e-9	4.515858974586943e-9	3.241494895463137e-9	2.8404985637442314e-9	2.2769942270340277e-9	1.1429198272307905e-9	7.628950561375853e-10	4.5818486333688413e-10
8.	3.6523414967078354e-20	4.480486913924196e-16	1.8497543756102921e-10	3.066836414154772e-8	3.018323506328462e-8	1.91301765513843e-8	7.041074694374133e-9	4.2858532268219325e-9	3.078572458723382e-9	2.698304005417342e-9	2.163637243857643e-9	1.0866267418285222e-9	7.254493076555612e-10	4.3575665589182203e-10
9.	0.	2.4858826219857782e-17	6.576198962902803e-11	2.6053924377619873e-8	2.740373239852368e-8	1.7913267626558558e-8	6.6769845360178915e-9	4.071625448212182e-9	2.9267633658768627e-9	2.565792549016491e-9	2.057981854360248e-9	1.0341415028999763e-9	6.905329590394642e-10	4.1484177103723813e-10
10.	0.	1.3434960258530866e-18	2.311287673873962e-11	2.2131360515065582e-8	2.489821105613966e-8	1.6790104488566056e-8	6.338214770432158e-9	3.872088678288502e-9	2.785308962195025e-9	2.44230501268067e-9	1.9595057777011602e-9	9.852078043863724e-10	6.579761689617973e-10	3.953387884776617e-10
11.	0.	7.091069810334387e-20	8.041860856742621e-12	1.879882323260408e-8	2.2639000806264965e-8	1.575316707403894e-8	6.022981835109478e-9	3.6862311652828913e-9	2.6535026349321247e-9	2.3272273146499986e-9	1.867722338046761e-9	9.395866915545406e-10	6.27620568004428e-10	3.7715312613546214e-10
12.	0.	3.320521101655582e-21	2.7732325178837173e-12	1.596885498029267e-8	2.0601201080747487e-8	1.4795540394102897e-8	5.72962860462145e-9	3.5131113748994344e-9	2.5306863958963596e-9	2.219987521277452e-9	1.782178144509526e-9	8.970554402447749e-10	5.993185197865755e-10	3.6019660071858856e-10
13.	0.	0.	9.487850560831702e-13	1.3566516086899032e-8	1.876241486453161e-8	1.391086701493386e-8	5.456615734663716e-9	3.351853303754256e-9	2.416247669806446e-9	2.1200530720538644e-9	1.702450909398171e-9	8.574065021695141e-10	5.729324254739021e-10	3.443870140114235e-10
14.	0.	0.	3.2230219103061345e-13	1.1527714262724117e-8	1.7102506007195898e-8	1.3093303068511166e-8	5.202513555126528e-9	3.2016420806133e-9	2.3096162772155377e-9	2.026928172043527e-9	1.6281473973264602e-9	8.204465127513696e-10	5.48334069372609e-10	3.29647763532046e-10
14.999999999999998	0.	0.	1.0878881046195608e-13	9.79772613168364e-9	1.5603378253583776e-8	1.2337477552866273e-8	4.965994480473327e-9	3.061719839406001e-9	2.2102616013399837e-9	1.9401513426007455e-9	1.5589014980928192e-9	7.859953581583802e-10	5.254040034226489e-10	3.159074762640771e-10
16.	0.	0.	3.650911547878901e-14	8.329896749786945e-9	1.4248774355522239e-8	1.1638454695672038e-8	4.745825907375757e-9	2.931381848803299e-9	2.11768992866089e-9	1.8592931216897078e-9	1.494372416591184e-9	7.538852983562763e-10	5.040309685095681e-10	3.0309966423332726e-10
17.	0.	0.	1.218852300625746e-14	7.084501735055589e-9	1.3024093699145026e-8	1.0991699168833383e-8	4.540863571139782e-9	2.8099728839210933e-9	2.0314419536726447e-9	1.7839539055612213e-9	1.434242973346078e-9	7.239601431522031e-10	4.841113506151832e-10	2.911624007587725e-10
