0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	1.55985710557875e-7	2.5582664178765506e-7	3.222933388439777e-7	1.315034282953733e-7	8.011226974017984e-8	4.0473590935236345e-8	1.3582700908161054e-8	8.160614035474869e-9	5.832377765460101e-9	5.10425168621453e-9	4.084433207337761e-9	2.043248781707903e-9	1.3623952912007563e-9	8.175473182237604e-10
2.	1.684538511593863e-8	8.127559302358567e-8	3.936272977297992e-7	2.39605271026735e-7	1.4872163787892062e-7	7.596009160684345e-8	2.5666096726178224e-8	1.5441285573651016e-8	1.1042250935516964e-8	9.665461058726979e-9	7.736280682893184e-9	3.872054605926739e-9	2.5822400588346897e-9	1.5497618950711029e-9
3.	8.69067705189481e-10	1.3671695336747443e-8	3.1652621075743397e-7	3.2605762675462193e-7	2.0689334277942621e-7	1.0688909591219902e-7	3.636571147021407e-8	2.190806982387318e-8	1.5675814915084727e-8	1.3723780494367576e-8	1.0987364311751771e-8	5.5020298537918446e-9	3.669876500779376e-9	2.202817405530381e-9
4.	3.108414977867478e-11	1.673379566297898e-9	2.0675491739063327e-7	3.928021325294415e-7	2.5562323803378857e-7	1.3365952817349887e-7	4.578966059516209e-8	2.7622902880191148e-8	1.9776420231573407e-8	1.7316899438738764e-8	1.386756494692045e-8	6.947845377051333e-9	4.635025505136695e-9	2.782517785338275e-9
5.	8.86477470408486e-13	1.6811640777683603e-10	1.1850260425721601e-7	4.418983225806143e-7	2.958408180146155e-7	1.566415598925281e-7	5.403907040013163e-8	3.2643828250784985e-8	2.3384726949568472e-8	2.048017753163655e-8	1.6404926705789806e-8	8.22328048138175e-9	5.486819499091617e-9	3.2943167147612006e-9
6.	2.1614233714965597e-14	1.472852859494467e-11	6.196633390463696e-8	4.7545238450122566e-7	3.2841200460790795e-7	1.7617841829648568e-7	6.120847587691877e-8	3.7025212074842134e-8	2.6538851475946578e-8	2.324677119992465e-8	1.862575617957819e-8	9.341270501862562e-9	6.233833722027126e-9	3.743336170938888e-9
7.	4.691709792355247e-16	1.1656169533349098e-12	3.024990456722564e-8	4.955530632846627e-7	3.5414178210515403e-7	1.9258809241864124e-7	6.738619802328497e-8	4.0817947548607763e-8	2.9274506101865066e-8	2.5647754014024225e-8	2.055471678501296e-8	1.0313952077791e-8	6.884115992740526e-9	4.134384089934767e-9
8.	9.303994809060179e-18	8.523117118631195e-14	1.3992607697035862e-8	5.042181572845452e-7	3.7377674221085857e-7	2.0616494214711633e-7	7.265470159780066e-8	4.4069649059874576e-8	3.162513161332988e-8	2.7712231091637342e-8	2.2214918477846793e-8	1.1152706229557247e-8	7.445215037710963e-9	4.471971177937893e-9
9.	1.716806650714856e-19	5.8476634110248875e-15	6.1964520539337185e-9	5.033528426886591e-7	3.880075813911179e-7	2.1718121538392827e-7	7.709093424980153e-8	4.6824836508633794e-8	3.362202328790365e-8	2.946744782027701e-8	2.3628003038534456e-8	1.1868199336013674e-8	7.924207444585867e-9	4.76032690942744e-9
10.	3.256577617621587e-21	3.806363032880154e-16	2.6465821798215233e-9	4.947196553291892e-7	3.9747157743463206e-7	2.2588847818312908e-7	8.076664791658423e-8	4.912511027093483e-8	3.5294450581539704e-8	3.0938893158612854e-8	2.481422513149068e-8	1.2470422106654106e-8	8.327723302380786e-9	5.0034147485409395e-9
11.	0.	2.370065655089063e-17	1.0963403251638385e-9	4.799191219350877e-7	4.027550603414965e-7	2.3251896248007094e-7	8.374870334026024e-8	5.100931724316829e-8	3.6669770796497337e-8	3.215039776554099e-8	2.5792529330799814e-8	1.2968726638963551e-8	8.66197058731874e-9	5.2049466283789146e-9
12.	0.	1.4202924174669786e-18	4.423739287152175e-10	4.6037959454213863e-7	4.0439588383757296e-7	2.37286835782307e-7	8.609935851863139e-8	5.251370838496063e-8	3.777353700878833e-8	3.3124227195231746e-8	2.658062329703985e-8	1.3371861647499586e-8	8.932758350768176e-9	5.3683967215293735e-9
13.	0.	8.262931326045502e-20	1.744581160836766e-10	4.373546729577042e-7	4.0288589737616375e-7	2.4038939696525125e-7	8.787654186798063e-8	5.367208816061989e-8	3.862960052160434e-8	3.388117038618238e-8	2.71950472820033e-8	1.3688005947617676e-8	9.145518763368494e-9	5.497014533703218e-9
14.	0.	4.3345744353006895e-21	6.742736384493326e-11	4.1192660638732247e-7	3.986734139657098e-7	2.420082021014676e-7	8.913411084072501e-8	5.45159562615681e-8	3.926020809965918e-8	3.4440623662488006e-8	2.765124013053393e-8	1.3924800273248631e-8	9.305328067155912e-9	5.593837351034087e-9
14.999999999999998	0.	3.6725108117744196e-22	2.55973293197747e-11	3.8501417836028154e-7	3.921656661601523e-7	2.4231012405037223e-7	8.99220967073974e-8	5.507464197541286e-8	3.968609422833372e-8	3.482067045612701e-8	2.7963601941438627e-8	1.408937750477144e-8	9.416926485316162e-9	5.661702070311566e-9
16.	0.	0.	9.562500232139832e-12	3.573837507714052e-7	3.8373124074078273e-7	2.414483493443758e-7	9.028693618034934e-8	5.5375431551214565e-8	3.9926568630911795e-8	3.5038156950020926e-8	2.8145553542466458e-8	1.4188391379794021e-8	9.484737137091216e-9	5.703256440182657e-9
17.	0.	0.	3.5208091490191392e-12	3.2966234007768877e-7	3.737024817342582e-7	2.395633157272619e-7	9.027169052584683e-8	5.544368889507559e-8	3.999959926702943e-8	3.510876383296102e-8	2.8209592927661677e-8	1.4228043756552637e-8	9.512884003351157e-9	5.720969740171472e-9
18.	0.	0.	1.2793264707425076e-12	3.023517995038247e-7	3.62377851228077e-7	2.3678359353018303e-7	8.99162527818065e-8	5.5302969915384406e-8	3.992189102570888e-8	3.504707434917664e-8	2.816734879898202e-8	1.4214110496663006e-8	9.505208986406837e-9	5.717142923229229e-9
18.999999999999996	0.	0.	4.59282205769115e-13	2.758433717120297e-7	3.50024237779951e-7	2.3322671390939206e-7	8.925754367024686e-8	5.4975130822867166e-8	3.970896031699754e-8	3.486663881734547e-8	2.8029631347919364e-8	1.4151966031097993e-8	9.465288105780715e-9	5.6939182464339714e-9
20.	0.	0.	1.630653655483372e-13	2.5043204879359757e-7	3.368792029232975e-7	2.2899994681711224e-7	8.832969676655054e-8	5.448043067700903e-8	3.937520575726421e-8	3.4580035786193976e-8	2.7806480406955314e-8	1.4046606670523418e-8	9.396446869869253e-9	5.653288413410395e-9
21.	0.	0.	5.73056156063641e-14	2.2633032672344479e-7	3.23153157228532e-7	2.2420103143223688e-7	8.716423346180907e-8	5.3837628457381337e-8	3.893397513460727e-8	3.419892998650143e-8	2.7507211095020752e-8	1.3902672718490804e-8	9.301774861718188e-9	5.597105251033231e-9
22.	0.	0.	1.9948473170374183e-14	2.036810684192153e-7	3.09031458494405e-7	2.1891886164030402e-7	8.579022822979866e-8	5.3064074925930865e-8	3.839762883258472e-8	3.37341272322845e-8	2.7140457075696565e-8	1.3724469443459353e-8	9.184139575488421e-9	5.527087942010768e-9
23.	0.	0.	6.8831058542505055e-15	1.8256929388339073e-7	2.946764258409773e-7	2.132341290219917e-7	8.42344646864768e-8	5.2175799534328456e-8	3.777759988257547e-8	3.3195626417195306e-8	2.6714211541682508e-8	1.3515986963195253e-8	9.04619953861316e-9	5.444830834017399e-9
24.	0.	0.	2.355452192708336e-15	1.6303279928419873e-7	2.8022926469857395e-7	2.0721992568574373e-7	8.252158290724476e-8	5.1187592619017935e-8	3.708445080750439e-8	3.259266874569899e-8	2.6235866034067e-8	1.3280919092770831e-8	8.890416753133494e-9	5.351810845153467e-9
24.999999999999996	0.	0.	7.998420996677498e-16	1.4507157153962327e-7	2.658118988916524e-7	2.009423091627119e-7	8.0674218445559e-8	5.011308311563245e-8	3.632792741240569e-8	3.193378433239827e-8	2.5712247200138885e-8	1.3022681205154491e-8	8.71906848824748e-9	5.249394484656184e-9
26.	0.	0.	2.696348566983021e-16	1.2865601354160367e-7	2.515287071710231e-7	1.9446083147059293e-7	7.871313347574326e-8	4.896481201393395e-8	3.5517009670340974e-8	3.122683629693103e-8	2.5149651588891992e-8	1.2744427151242463e-8	8.534258454714595e-9	5.138844506965451e-9
27.	0.	0.	9.027577752894521e-17	1.1373403014138553e-7	2.374681626294224e-7	1.8782903434683664e-7	7.665734046303067e-8	4.7754301764366e-8	3.465995984552208e-8	3.0479062476173175e-8	2.4553878578969416e-8	1.2449065284130415e-8	8.337927390420802e-9	5.0213262164615325e-9
28.	0.	0.	3.0029395603847e-17	1.0023704882690506e-7	2.2370437442890607e-7	1.810949125507685e-7	7.452421874489738e-8	4.649212183767052e-8	3.376436798910257e-8	2.969711487002242e-8	2.393026152957608e-8	1.213927363045434e-8	8.131863085127798e-9	4.89791343943697e-9
29.	0.	0.	9.928297429913701e-18	8.808506385765024e-8	2.1029853216465e-7	1.743013470381469e-7	7.232962438961723e-8	4.518795062979097e-8	3.2837194936981686e-8	2.8887096931810354e-8	2.328369724084351e-8	1.1817514249742297e-8	7.917709871200022e-9	4.7695941791409984e-9
29.999999999999996	0.	0.	3.2630244539890104e-18	7.719080042162356e-8	1.9730025398397278e-7	1.674865097202678e-7	7.008799368062519e-8	4.385063389544876e-8	3.188481293310495e-8	2.8054598809381796e-8	2.2618673806255048e-8	1.1486046820908412e-8	7.696977605924164e-9	4.637275969040269e-9
31.	0.	0.	1.0667384831870913e-18	6.746309781119229e-8	1.8474884027096868e-7	1.6068424143271532e-7	6.781244055869915e-8	4.24882398853231e-8	3.0913043996130854e-8	2.7204730638081448e-8	2.19392969360268e-8	1.1146941493285217e-8	7.471050169905046e-9	4.501790938773817e-9
32.	0.	0.	3.4660358845344187e-19	5.880960908259094e-8	1.7267443529791432e-7	1.5392440465599034e-7	6.551484833812477e-8	4.110811135367067e-8	2.992719614195885e-8	2.6342153982292844e-8	2.124931482678126e-8	1.0802091037926706e-8	7.241193504937675e-9	4.363900606641383e-9
32.99999999999999	0.	0.	1.1212328083781147e-19	5.113891032277248e-8	1.6109909973869684e-7	1.4723321245131912e-7	6.320595599785774e-8	3.971691459547464e-8	2.8932097569464252e-8	2.5471111517771917e-8	2.0552141649442196e-8	1.0453222333319794e-8	7.008563213715732e-9	4.224300411851921e-9
34.	0.	0.	3.612491118090991e-20	4.436210642926724e-8	1.5003779734232994e-7	1.4063353499976838e-7	6.089543933422972e-8	3.832068566480203e-8	2.7932128911859912e-8	2.459545504280373e-8	1.9850879724014803e-8	1.0101907218113836e-8	6.774211742740651e-9	4.083623999171962e-9
35.	0.	0.	1.1273195632205494e-20	3.839401294991492e-8	1.3949929938270875e-7	1.3414518506115128e-7	5.859198724790927e-8	3.692487391895694e-8	2.6931253651384185e-8	2.3718671902173955e-8	1.9148340446787896e-8	9.749572742012881e-9	6.539095168840205e-9	3.942447268050611e-9
36.	0.	0.	3.878532365019493e-21	3.315398559830084e-8	1.2948701074118491e-7	1.277851836009681e-7	5.630337342462017e-8	3.553438302623372e-8	2.5933046790499963e-8	2.284390990408334e-8	1.8447064032500615e-8	9.397510844572236e-9	6.304079608790474e-9	3.801292197758509e-9
37.	0.	0.	1.3164594277867207e-21	2.8566460984871797e-8	1.1999972164874715e-7	1.2156800676859377e-7	5.403652365649934e-8	3.415360956858749e-8	2.4940721868468104e-8	2.1974000806435014e-8	1.7749338131148938e-8	9.046887490296363e-9	6.069947270657751e-9	3.660630459560935e-9
37.99999999999999	0.	0.	3.365978746538582e-22	2.4561264194121905e-8	1.1103228922200595e-7	1.1550581534795295e-7	5.179757903892114e-8	3.27864793643326e-8	2.395715640802035e-8	2.1111482445383375e-8	1.705721537636149e-8	8.698751287146823e-9	5.837402164636836e-9	3.5208868264497143e-9
39.	0.	0.	1.5082120702156775e-22	2.10737313118024e-8	1.0257625297922663e-7	1.0960866774288943e-7	4.95919552661101e-8	3.1436481630048625e-8	2.2984915872902223e-8	2.0258619575646268e-8	1.6372529919647086e-8	8.35404161433549e-9	5.6070754903567105e-9	3.3824423904837574e-9
40.	0.	0.	0.	1.8044688004793753e-8	9.462038852635694e-8	1.038847175031731e-7	4.7424398237869824e-8	3.0106701095199575e-8	2.2026276213267623e-8	1.9417423488839513e-8	1.5696913002299754e-8	8.013596284096263e-9	5.379530716853586e-9	3.245637597333064e-9
41.	0.	0.	0.	1.542031886362334e-8	8.715120356517686e-8	9.83403963434918e-8	4.5299036179271505e-8	2.879984817754998e-8	2.1083245072287095e-8	1.858967047299105e-8	1.5031807614340966e-8	7.67815876099731e-9	5.155268370672275e-9	3.1107751071852907e-9
