0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	2.2723896010579693e-15	5.546536485970938e-13	1.2057073766081104e-12	1.8129180882707482e-12	2.2679235009154146e-12	2.566885436852428e-12	2.741460951797353e-12	2.7307900133996166e-12	2.359202242502183e-12	1.7456069397307144e-12	1.1095049920942067e-12	5.708435291885106e-13	1.9261539886072235e-13	1.1577549155827595e-13	8.275447549680437e-14	7.242535498181433e-14	5.795691934711048e-14	2.89944360462118e-14	1.9333044054511982e-14	1.1601439883058251e-14
2.	1.2381499755938137e-19	3.196971548664341e-14	2.1365468310727218e-13	6.1865027406249e-13	1.1701102649155763e-12	1.7464904631225996e-12	2.26462595574577e-12	3.5193097354689724e-12	3.53705863625499e-12	2.9181551019641155e-12	1.9675143557861818e-12	1.0419860765588702e-12	3.5592291907432117e-13	2.1431760473751845e-13	1.5329790135096415e-13	1.3419199555422455e-13	1.0741530561902331e-13	5.376693823525199e-14	3.585732044240286e-14	2.152038210134911e-14
3.	3.0023451853158245e-24	1.1106933697457378e-15	2.4414171046686054e-14	1.4221837826946108e-13	4.187435698083873e-13	8.408828843528255e-13	1.3424739618907676e-12	3.3535430934866292e-12	3.952329580165599e-12	3.650609820334962e-12	2.6143081128950536e-12	1.4255777264147514e-12	4.929804058499393e-13	2.973785810711441e-13	2.1285907127692614e-13	1.863691371540838e-13	1.4922399782933603e-13	7.473567605246667e-14	4.9850275451927146e-14	2.992266632391528e-14
4.	2.1953776809330144e-27	2.9852977502756324e-17	2.2419658487958586e-15	2.6962532111317984e-14	1.25847842526438e-13	3.444571272898008e-13	6.835592526930633e-13	2.805865050071148e-12	3.903237518789993e-12	4.050778031991856e-12	3.084825242792575e-12	1.732545104313627e-12	6.065858754003482e-13	3.6656611271381473e-13	2.6256662026938046e-13	2.299391620190403e-13	1.841632460441986e-13	9.228535960323032e-14	6.156722644588537e-14	3.696093822763855e-14
5.	3.45855988025339e-32	6.816280692487069e-19	1.7930869062875065e-16	4.529892565620562e-15	3.393859385182427e-14	1.277868445021694e-13	3.1739407740753937e-13	2.1773776096532712e-12	3.5948756343278153e-12	4.2051546200915954e-12	3.409268131763026e-12	1.972698490664771e-12	6.992965514071641e-13	4.2335359086018083e-13	3.034560306764315e-13	2.6580366811496686e-13	2.1294946218471674e-13	1.0676953146070935e-13	7.124287211223963e-14	4.277554737053099e-14
6.	4.323157497185959e-37	1.3864296449854258e-20	1.3004904814331264e-17	6.988974287147633e-16	8.482785289615934e-15	4.4241696389293586e-14	1.3826274487217138e-13	1.606692048703122e-12	3.1630154978945776e-12	4.182376945871446e-12	3.613650320636875e-12	2.1548306337218852e-12	7.734466641345824e-13	4.690897109382006e-13	3.3647620491347624e-13	2.9478914558462143e-13	2.3623968010242905e-13	1.1851271996816635e-13	7.909271178277488e-14	4.749539117560667e-14
7.	4.551097622482805e-42	2.5834419605185225e-22	8.759360242829716e-19	1.0110598931861979e-16	2.00220616136612e-15	1.454270939864385e-14	5.742355413476631e-14	1.1428394021996187e-12	2.6935079022504324e-12	4.0362724539031744e-12	3.720291310599087e-12	2.2868078308963615e-12	8.311640847932401e-13	5.050074709984922e-13	3.624956289876375e-13	3.176523013946716e-13	2.546357409617293e-13	1.2781246153875938e-13	8.531437874951236e-14	5.123870793700199e-14
8.	4.190910311856249e-47	4.510553557276168e-24	5.564028847219128e-20	1.389991886546349e-17	4.516695592698761e-16	4.5886942978566216e-15	2.2970912081825224e-14	7.901734945211681e-13	2.2373837298310563e-12	3.808507257383594e-12	3.74826219159511e-12	2.375653813640279e-12	8.743858638672915e-13	5.322325978358651e-13	3.823081497700505e-13	3.3508505180871877e-13	2.6868821915460105e-13	1.349411991203835e-13	9.008889226429665e-14	5.4113821616227187e-14
9.	3.4641482705546074e-52	6.538251322126621e-26	3.3689286382963274e-21	1.832937282803237e-18	9.818886503814388e-17	1.4003064443631399e-15	8.912141599055376e-15	5.340137774807556e-13	1.822185792325774e-12	3.5308582446174905e-12	3.713785803252498e-12	2.4276269390573853e-12	9.048727384206833e-13	5.517914335839379e-13	3.9663838777883276e-13	3.477192013136806e-13	2.789001032022224e-13	1.4014806363497541e-13	9.358183267389003e-14	5.6219841059213417e-14
10.	2.618288816276712e-57	4.813320691358453e-26	1.9592833685788402e-22	2.334012264698925e-19	2.0693189567124416e-17	4.1552438633668664e-16	3.370262040960768e-15	3.541326762036805e-13	1.4602064147402097e-12	3.22713979318283e-12	3.6305950383681073e-12	2.4482911608558466e-12	9.242226698840693e-13	5.646183138145178e-13	4.061468061165738e-13	3.5613082567365736e-13	2.85730245363198e-13	1.4366054486009645e-13	9.594444392052387e-14	5.764731613388436e-14
11.	1.834658966602286e-62	8.024514294289229e-28	1.101524439314442e-23	2.8845375670457996e-20	4.2468296242619135e-18	1.2038416613146668e-16	1.2469174126307723e-15	2.3110146879409526e-13	1.154299605796356e-12	2.9148203933037113e-12	3.5102527651662724e-12	2.4425812232167418e-12	9.338834704837553e-13	5.715624665464712e-13	4.1143445514030196e-13	3.6084437587722333e-13	2.895965929678815e-13	1.4568605789483588e-13	9.731466742574153e-14	5.847885316306635e-14
12.	1.2044882003186645e-67	1.2797042100867827e-29	5.654137558924153e-25	3.4734807263893715e-21	8.516902585220796e-19	3.415863715014382e-17	4.526347139052976e-16	1.4873139666356022e-13	9.018597997088095e-13	2.6063656973672225e-12	3.3624366861424585e-12	2.4148624935721074e-12	9.35164573300276e-13	5.733944600203685e-13	4.1304741142669414e-13	3.6233651887887534e-13	2.9087921383090076e-13	1.464134110414335e-13	9.781811117305298e-14	5.878969190839264e-14
13.	7.470887599562677e-73	1.9634401222047475e-31	4.155897417477484e-26	4.088288867417541e-22	1.67367823993205e-19	9.516229846214574e-18	1.615757195743776e-16	9.455799895533365e-14	6.974568441401943e-13	2.3103437232241977e-12	3.1951922761260092e-12	2.3689858241199465e-12	9.292479979293118e-13	5.708122256218114e-13	4.114809286286273e-13	3.6103973021133993e-13	2.8992312745817386e-13	1.4601418063786334e-13	9.756895761200589e-14	5.8648246247212e-14
14.	4.407224975486552e-78	2.9116747420465947e-33	-1.5675330743576482e-26	4.7132176653067763e-23	3.229981732159331e-20	2.6081332366883947e-18	5.6821592613847e-17	5.946656456147358e-14	5.345136724963529e-13	2.0323258785726784e-12	3.0151567565533396e-12	2.308337807103325e-12	9.171985608541826e-13	5.644466809346529e-13	4.0718331689881895e-13	3.573456527607082e-13	2.8704095315903376e-13	1.446439980943187e-13	9.667081382234726e-14	5.811661057614278e-14
14.999999999999998	2.4862853840301952e-83	4.1890240915206425e-35	3.725644741980876e-27	5.338094714344342e-24	6.132797557218937e-21	7.043789453193223e-19	1.9715493747238362e-17	3.7033895553808957e-14	4.063207636379865e-13	1.7756146744709035e-12	2.8277568719531774e-12	2.2358867653979193e-12	8.999733769201351e-13	5.548669765720237e-13	4.0055956668023827e-13	3.516082352492067e-13	2.825153855971925e-13	1.4244375411748867e-13	9.521750720161307e-14	5.725103387158829e-14
16.	1.347389333162797e-88	5.865054407380429e-37	1.9917297196423076e-28	5.906432739966198e-25	1.1473909461117132e-21	1.8770946486803676e-19	6.757670499858777e-18	2.285953122125794e-14	3.066045227992562e-13	1.5418258360076861e-12	2.637383042394844e-12	2.1542247977384737e-12	8.784306957194556e-13	5.425853891651795e-13	3.9197473182919763e-13	3.4414666325916984e-13	2.7660150776496293e-13	1.3954072485013715e-13	9.329382977236867e-14	5.610236323903449e-14
17.	7.041083686959903e-94	8.012074496134348e-39	1.0419809452083407e-29	5.918604535286355e-26	2.117745399888374e-22	4.941592323333011e-20	2.2905183252204636e-18	1.399591409234825e-14	2.2980557042862237e-13	1.331349259068695e-12	2.447542275358329e-12	2.0656061769201446e-12	8.533381142465817e-13	5.280618816846284e-13	3.8175708624368276e-13	3.352480949548386e-13	2.695289508421299e-13	1.3604962440924415e-13	9.097623404607886e-14	5.471645868907571e-14
18.	3.5594938548316815e-99	1.070243750160487e-40	5.344752908821485e-31	2.1230613140740573e-26	3.859706880087174e-23	1.2863852463895797e-20	7.684257882083418e-19	8.505009430764874e-15	1.7117609092340036e-13	1.1437100786597368e-12	2.2609920346424218e-12	1.9719823794866818e-12	8.253802048577279e-13	5.117083511220039e-13	3.7020106741469804e-13	3.2517021301442626e-13	2.6150390990300284e-13	1.3207358807329075e-13	8.833348322885265e-14	5.313458078865273e-14
18.999999999999996	1.7455680224128165e-104	1.4005455193199269e-42	2.692456090344912e-32	3.138131890615886e-26	6.95534388582602e-24	3.314066306746513e-21	2.5534676506424693e-19	5.132399956365341e-15	1.267705847366711e-13	9.778481169328496e-13	2.07985708441856e-12	1.875034006715126e-12	7.951655953642662e-13	4.938925824719722e-13	3.5757001960049457e-13	3.1414360367203066e-13	2.52711023961347e-13	1.2770509014768327e-13	8.54272584097751e-14	5.139375275075451e-14
20.	8.323755893933285e-110	1.798405841349936e-44	1.3339430897556486e-33	3.500161952714646e-27	1.258667295764891e-24	8.455773765134027e-22	8.410131239648207e-20	3.0770713845912204e-15	9.337917620526322e-14	8.323312319667389e-13	1.9057311547425072e-12	1.7761998390777496e-12	7.632335359975193e-13	4.749419269185151e-13	3.4409874864081917e-13	3.0237397318598865e-13	2.4331512839200337e-13	1.230268003263035e-13	8.231272523487418e-14	4.95270984446385e-14
21.	3.8675490565825527e-115	2.2691360012682423e-46	6.507676675376415e-35	3.8500229973718306e-28	2.1612003464711187e-25	2.1379533981940427e-22	2.747040941546804e-20	1.833571081672939e-15	6.843484979024309e-14	7.055156225196667e-13	1.7397651117164523e-12	1.6767032497590121e-12	7.300599859993694e-13	4.551467211467026e-13	3.299958997791835e-13	2.900442114958321e-13	2.334628873390544e-13	1.1811238216628729e-13	7.903906243868034e-14	4.756415773129248e-14
22.	1.7541811709054294e-120	2.8167289987573396e-48	3.129526989970624e-36	4.18036194210195e-29	3.4837140738085526e-26	5.358727378915388e-23	8.902919340750073e-21	1.0862999990870757e-15	4.991375019685871e-14	5.956639676030484e-13	1.5827431616734791e-12	1.5775761871814366e-12	6.960632507130406e-13	4.347634637671836e-13	3.154461692440796e-13	2.773163123028197e-13	2.2328431331235957e-13	1.1302723710191825e-13	7.564995448052779e-14	4.553118045521725e-14
23.	7.779103286339621e-126	3.443547587591808e-50	1.4849176360323486e-37	4.484407538760481e-30	2.6641354629756444e-26	1.3314834064209898e-23	2.864132969243463e-21	6.400634307494628e-16	3.62394824372336e-14	5.010303857898414e-13	1.4351484745804677e-12	1.4796809218040677e-12	6.616091982666054e-13	4.140177639538005e-13	3.00612359753597e-13	2.6433315830784205e-13	2.1289418078626442e-13	1.0782919724154454e-13	7.218405041393803e-14	4.3451400353498746e-14
24.	3.37766050920543e-131	4.150053467831924e-52	6.957535277058196e-39	4.756179630263715e-31	2.0453247780620296e-28	3.2820069032505893e-24	9.149944212879297e-22	3.7517187299557765e-16	2.6197019904686255e-14	4.199195710170438e-13	1.2972194774490581e-12	1.3837297386557232e-12	6.27016083253537e-13	3.93107076552776e-13	2.856372895506177e-13	2.512201798641528e-13	2.0239334024533545e-13	1.025691700182778e-13	6.86753910043555e-14	4.1345290076394676e-14
24.999999999999996	1.4377416074888562e-136	4.934592629824973e-54	3.2214768304392307e-40	4.99065240181809e-32	8.31600690829623e-27	7.960756611621811e-25	2.903633253414446e-22	2.1881147826029534e-16	1.8858494599758455e-14	3.507260770433203e-13	1.1689979438558753e-12	1.2903027441093325e-12	5.925590032154451e-13	3.722032371227434e-13	2.7064556404635627e-13	2.380868948497212e-13	1.9186993877124863e-13	9.729173760051059e-14	6.515380600291261e-14	3.923079845014461e-14
26.	6.006378601086296e-142	5.7932493886468625e-56	1.4749686197255577e-41	5.1838687988695094e-33	1.4686207726706107e-27	1.9308424042767084e-25	9.156240021113353e-23	1.270072870608057e-16	1.3521160715419673e-14	2.919585567736875e-13	1.050369890514864e-12	1.1998639432510162e-12	5.584740122176825e-13	3.5145480960649625e-13	2.557452186471581e-13	2.250283371339477e-13	1.8140055293162743e-13	9.203571381161968e-14	6.164528338154269e-14	3.7123571052269455e-14
27.	2.4651855999605774e-147	6.719778518826735e-58	6.681739849311789e-43	5.333006011301895e-34	2.5707443719097132e-28	4.4715804785789113e-26	2.8695687929933617e-23	7.33805762506803e-17	9.656730460152261e-15	2.4225278976515595e-13	9.41100185923506e-13	1.1127757328073157e-12	5.249619143747528e-13	3.309892586157869e-13	2.4102924086198013e-13	2.1212638060499515e-13	1.7105123941487432e-13	8.683466115923986e-14	5.817231223739986e-14	3.5037155112128294e-14
28.	9.949139151182123e-153	7.705621297840773e-60	2.9963967376631085e-44	5.436394258740668e-35	4.4621422909435844e-29	2.6420668435476046e-26	8.942264183568833e-24	4.2207835900534755e-17	6.870757049809657e-15	2.0037652642013167e-13	8.408616790509601e-13	1.0293119439266686e-12	4.92191758825332e-13	3.1091495762801087e-13	2.2657697933463283e-13	1.9945096533606676e-13	1.6087850855413983e-13	8.171737043285213e-14	5.4754200981960475e-14	3.2983189694808044e-14
29.	3.951623145019268e-158	8.740007406194788e-62	1.3307986746983488e-45	5.493492991322753e-36	7.682884917004903e-30	1.5621097838480262e-26	2.759405989852661e-24	2.4172491744354035e-17	4.870563855802878e-15	1.6522851717556818e-13	7.492595674244452e-13	9.496695591286078e-13	4.603040563726283e-13	2.913230437463734e-13	2.124554470145815e-13	1.8706123210064882e-13	1.5093022559775277e-13	7.670830519379209e-14	5.140737234215048e-14	3.097158207441305e-14
