0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.
1.	1.0661358282647027e-16	2.4364744787317755e-14	5.127919541610153e-14	7.506543087663958e-14	9.189105551319391e-14	1.0220415673477055e-13	1.0762626693377079e-13	1.0293317312810009e-13	8.736636576189295e-14	6.370995098989637e-14	4.014354960719755e-14	2.056095963970805e-14	6.924015944083182e-15	4.160601968181817e-15	2.9735890506627035e-15	2.602345801839344e-15	2.0823752703075053e-15	1.0416663045329051e-15	6.94546629457028e-16	4.167762899899744e-16
2.	2.3452079743106887e-20	6.078589024345239e-15	3.965462348518121e-14	1.1198362411265312e-13	2.0694345966279822e-13	3.0258175583823396e-13	3.853785229869962e-13	5.647479381693457e-13	5.512658363479885e-13	4.4317805418048996e-13	2.939529666603031e-13	1.543145854965642e-13	5.250513104443005e-14	3.159730543190423e-14	2.2595852124793092e-14	1.977830570040321e-14	1.5830239176399953e-14	7.92241168927304e-15	5.283168444279126e-15	3.170637248247873e-15
3.	1.2498479408926856e-24	4.949524103759268e-16	1.074851652180667e-14	6.1450794532047e-14	1.7730523053409772e-13	3.4911361879961784e-13	5.472975042666095e-13	1.2795078599069302e-12	1.453596276745612e-12	1.2966746957601818e-12	9.073124196384651e-13	4.884500641470028e-13	1.679338784792477e-13	1.0121388802129615e-13	7.242254035583734e-14	6.340313313902865e-14	5.075909865389213e-14	2.541469117934566e-14	1.6950649842208646e-14	1.0173938600039426e-14
4.	0.	2.4238863835670915e-17	1.820886647139846e-15	2.164987378086073e-14	9.945130734291181e-14	2.675466030063478e-13	5.219482648567823e-13	2.0008191355138875e-12	2.669878907027843e-12	2.6571712110758183e-12	1.965266772547048e-12	1.085528420165756e-12	3.771595960085074e-13	2.276584140601322e-13	1.6299466446127574e-13	1.4272079428863142e-13	1.1428667960486048e-13	5.7249044711791e-14	3.8188660889898564e-14	2.2923873610059357e-14
5.	0.	8.787339163173314e-19	2.340794093597802e-16	5.890457917412191e-15	4.36398689989739e-14	1.6198396900771452e-13	3.9624077872747534e-13	2.5407964849659017e-12	4.01149224136546e-12	4.47505580967116e-12	3.504713528892127e-12	1.9871972927618707e-12	6.978022808432169e-13	4.2184306888474633e-13	3.022022493135296e-13	2.6466027142635656e-13	2.119838033322168e-13	1.0623746193856438e-13	7.087755798710772e-14	4.2551344976588315e-14
6.	0.	2.6021651695190077e-20	2.5015835955086284e-17	1.349160896010396e-15	1.627162225679846e-14	8.393113406272027e-14	2.588789695192272e-13	2.8194538779185342e-12	5.2982870002536645e-12	6.6518269163946064e-12	5.5253320331956096e-12	3.217502393482527e-12	1.1419800858336842e-12	6.914173230943593e-13	4.956158329441261e-13	4.341239248047593e-13	3.47803217384529e-13	1.7438601745845105e-13	1.163610938411905e-13	6.986561164538928e-14
7.	0.	6.651604627997477e-22	2.3386264549305644e-18	2.729032919118632e-16	5.396359086733914e-15	3.889378321917757e-14	1.519213973026698e-13	2.8444496189562406e-12	6.393666595238219e-12	9.065561989698578e-12	7.998894727705805e-12	4.78582943368069e-12	1.7170588009302137e-12	1.0411978420909758e-12	7.467880429825452e-13	6.542499266266522e-13	5.242879614740283e-13	2.6299753806686513e-13	1.7551453837981374e-13	1.0539500865463833e-13
8.	0.	1.518927867302226e-23	1.9739567054754667e-19	5.0217866043684556e-17	1.6373064353260587e-15	1.656137714761906e-14	8.220639073487277e-14	2.6722623476243356e-12	7.214855168424115e-12	1.1589274924049071e-11	1.0877110466424477e-11	6.68950821283629e-12	2.426329257969521e-12	1.47355834222055e-12	1.0575274387554023e-12	9.266506561806082e-13	7.427607517911561e-13	3.727650171395666e-13	2.488066817140399e-13	1.4942402003174184e-13
9.	0.	3.21850701496856e-25	1.5364593720880917e-20	8.574056948676853e-18	4.630684701012826e-16	6.5971602886277315e-15	4.1732605567879137e-14	2.374727358293175e-12	7.728879692752198e-12	1.4103379759194665e-11	1.409815006088399e-11	8.916108526123827e-12	3.2696182134723534e-12	1.988782392571897e-12	1.4281466704212605e-12	1.2516288274355026e-12	1.003495774998746e-12	5.038564473052357e-13	3.3635616139330146e-13	2.0202696764572735e-13
10.	0.	0.	1.1193724749431526e-21	1.3772716287270217e-18	1.2369315716344033e-16	2.4894845757241656e-15	2.0117721310144237e-14	2.017959673808154e-12	7.94185721916905e-12	1.650345143805993e-11	1.759200064960534e-11	1.144545558778266e-11	4.243837902217761e-12	2.585381970447972e-12	1.8576868772029303e-12	1.628373009106088e-12	1.3058741961885044e-12	6.559917009901386e-13	4.379825288882876e-13	2.6309856272770614e-13
11.	0.	0.	7.71610039392271e-23	2.1026731834187397e-19	3.1506292331263313e-17	8.981074885581667e-16	9.290504116745991e-15	1.652644905029443e-12	7.886475024864229e-12	1.8704371207524048e-11	2.1284789184127414e-11	1.4251390780384865e-11	5.343479112846739e-12	3.2603843981430688e-12	2.3441201246311946e-12	2.0551340920668358e-12	1.648524602874055e-12	8.285120491187914e-13	5.532524444208507e-13	3.323815514614821e-13
12.	0.	0.	5.0843774384968864e-24	3.0745564094206336e-20	7.708089357602354e-18	3.1189690736590525e-16	4.137483142808446e-15	1.3120822552639685e-12	7.61043594312911e-12	2.0641802921227932e-11	2.5102207145838938e-11	1.730330173227197e-11	6.561052314644007e-12	4.009590118410602e-12	2.884531565376628e-12	2.5293841597037e-12	2.029449529441617e-12	1.0204428711157885e-12	6.815213648586128e-13	4.094916715735414e-13
13.	0.	0.	3.327328317232242e-25	4.331563536634608e-21	1.821523074274016e-18	1.0482849444925191e-16	1.786063232190576e-15	1.0144130088603205e-12	7.167158323570786e-12	2.227179213855672e-11	2.8972159217612753e-11	2.0567443998422965e-11	7.8874810609955e-12	4.827803605384499e-12	3.4752828993804855e-12	3.047959123062281e-12	2.446139133155319e-12	1.2305500742690283e-12	8.219710663361803e-13	4.939401231751368e-13
